"process_date","processor","lake_code","lake_name","trawl_date","start_time","end_time","duration_mi","depth_m","trawl_number","fish_total","fish_id","species_code","fish_description","fish_length_mm","fish_weight_g","weight_conversion_formula","preservative_code","preservative_description","sample_number","sas_scale","sas_scale_book","age","aging_technique","aging_technique_name","source_file","comment","standardized_weight_g","species_code_comment","program_notes","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","start_time.dat","end_time.dat","scale","scale_book","source_file.dat","source_line","sample_type","trawl_location","trawl_number_comment","trawl_date_comment","time_comment","preservative_code_comment","depth_m_comment","start_time.sas","end_time.sas","source_file.sas",".joyn","scale_book_letter"
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,13,2,"Stickleback",32,0.31,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_13_0.31_32",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56048,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,14,2,"Stickleback",35,0.36,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.32,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_14_0.36_35",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,14,2,"Stickleback",35,0.36,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_14_0.36_35",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56051,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,15,2,"Stickleback",32,0.24,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.22,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_15_0.24_32",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,15,2,"Stickleback",32,0.24,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_15_0.24_32",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56054,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,16,2,"Stickleback",35,0.33,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.3,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_16_0.33_35",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,16,2,"Stickleback",35,0.33,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_16_0.33_35",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56057,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,5,1,2,"Stickleback",55,1.69,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_1_1.69_55",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",42289,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,1,2,"Stickleback",55,1.69,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,1.52,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_1_1.69_55",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,5,2,2,"Stickleback",53,1.32,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_2_1.32_53",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",42292,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,2,2,"Stickleback",53,1.32,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,1.18,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_2_1.32_53",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,5,3,2,"Stickleback",56,1.86,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_3_1.86_56",5,1984,"22:49:00","23:04:00",NA,"2","trawl84.dat",42295,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,3,2,"Stickleback",56,1.86,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,2,NA,NA,NA,NA,NA,NA,1.67,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_3_1.86_56",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,5,4,2,"Stickleback",60,1.97,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_4_1.97_60",5,1984,"22:49:00","23:04:00",NA,"2","trawl84.dat",42298,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,4,2,"Stickleback",60,1.97,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,2,NA,NA,NA,NA,NA,NA,1.77,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_4_1.97_60",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,5,5,2,"Stickleback",56,1.59,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_5_1.59_56",5,1984,"22:49:00","23:04:00",NA,"2","trawl84.dat",42301,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,5,2,"Stickleback",56,1.59,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,2,NA,NA,NA,NA,NA,NA,1.43,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_5_1.59_56",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,7,6,2,"Stickleback",28,0.19,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"FRY","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_6_0.19_28",5,1984,"22:49:00","23:04:00",NA,"0","trawl84.dat",47976,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,6,2,"Stickleback",28,0.19,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,0,NA,NA,NA,NA,NA,NA,0.17,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_6_0.19_28",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,7,7,2,"Stickleback",28,0.2,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"FRY","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_7_0.2_28",5,1984,"22:49:00","23:04:00",NA,"0","trawl84.dat",47979,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,7,2,"Stickleback",28,0.2,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,0,NA,NA,NA,NA,NA,NA,0.18,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_7_0.2_28",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,8,2,"Stickleback",36,0.39,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.35,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_8_0.39_36",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,8,2,"Stickleback",36,0.39,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_8_0.39_36",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56033,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,9,2,"Stickleback",31,0.26,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.23,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_9_0.26_31",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,9,2,"Stickleback",31,0.26,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_9_0.26_31",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56036,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,10,2,"Stickleback",32,0.28,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.25,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_10_0.28_32",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,10,2,"Stickleback",32,0.28,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_10_0.28_32",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52283,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,11,2,"Stickleback",33,0.28,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.25,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_11_0.28_33",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,11,2,"Stickleback",33,0.28,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_11_0.28_33",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52286,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,12,2,"Stickleback",36,0.39,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.35,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_12_0.39_36",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,12,2,"Stickleback",36,0.39,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_12_0.39_36",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52289,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,13,2,"Stickleback",35,0.3,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.27,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_13_0.3_35",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,13,2,"Stickleback",35,0.3,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_13_0.3_35",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52292,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,14,2,"Stickleback",34,0.31,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.28,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_14_0.31_34",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,14,2,"Stickleback",34,0.31,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_14_0.31_34",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52295,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,15,2,"Stickleback",38,0.45,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.4,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_15_0.45_38",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,15,2,"Stickleback",38,0.45,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_15_0.45_38",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52298,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,16,2,"Stickleback",30,0.24,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.22,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_16_0.24_30",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,16,2,"Stickleback",30,0.24,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_16_0.24_30",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52301,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,17,2,"Stickleback",31,0.22,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_17_0.22_31",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,17,2,"Stickleback",31,0.22,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_17_0.22_31",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52304,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,29,18,2,"Stickleback",31,0.26,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.23,NA,"AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_18_0.26_31",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:50:56","23:05:52","trawl84.sas7bdat","y",NA
"1985-02-08","18",40,"Kennedy L (Clay)","1984-05-02",NA,NA,"15",4,10,36,18,2,"Stickleback",31,0.26,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-02_40_10_4","1984-05-02_40_10_4_2_18_0.26_31",5,1984,"22:51:00","23:06:00",NA,"1","trawl84.dat",52307,"TR","TR 2 OFFSHORE 2","","",NA,NA,"",NA,NA,NA,"x",NA
