"trawl_date","trawl_comment","lake_code","process_date","processor","start_time","end_time","duration_mi","depth_m","trawl_number","gear_info","species_info_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","standardized_weight_g","fish_total","fish_id","preservative_code","sample_number","scale_book","scale_book_letter","sas_scale","sas_scale_book","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","sas_comment","time_comment","preservative_code_comment","depth_m_comments","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","duplicate_flag","invalid_start_time","invalid_end_time","taxonomic_comment","species_code","genus_name","species_name","lake_comment","lake_name","lake_latitude","lake_longitude","no_species_name_comments","invalid_duration_time","calc_duration_time","duration_final","duration_comment","calc_end_time","calc_end_time_comment","preservative_code_issue","preservative_description","preservative_description_short","weight_conversion_formula","calc_value","preservative_note","scale_book_issues","scale_book_comment","gear_type","gear_type_comment","length_weight_comment","calc_std_weight_g","std_weight_g_comment"
"1984-09-01",NA,25,NA,"18","23:33:00","23:48:00",15,10,2,NA,1,"Sockeye","Fry",28,0.53,4.74,NA,2,1,"1",NA,NA,NA,NA,1,1,"Scale & aged","trawl84.sas7bdat",NA,"1984-09-01_25_2_10","1984-09-01_25_2_10_1_2_5.29_28",9,1984,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row","y",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Eden Lake","53 deg 51 min","132 deg 43 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","23:48:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.53 g from 5.29 likely typo",0.48,"does NOT match calc_std_weight_g"
"1984-09-10",NA,69,NA,"18","22:09:00","22:24:00",15,5,4,NA,2,"Stickleback","",25,0.145,1.3,NA,53,1,"1",NA,NA,NA,NA,0,5,"Defaulted","trawl84.sas7bdat",NA,"1984-09-10_69_4_5","1984-09-10_69_4_5_2_53_1.45_25",9,1984,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row","y",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Yakoun Lake","53 deg 19 min","132 deg 17 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","22:24:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.145 g from 1.45, likely typo",0.13,"does NOT match calc_std_weight_g"
"1986-08-31","TR 3.5-2.5",6,"1986-12-05","10","23:52:00","00:22:00",30,12,1,"TRAWL",1,"Sockeye","Fry",44,0.71,63.67,12,5,1,"1",0,NA,"0",NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",6091,"1986-08-31_6_1_12","1986-08-31_6_1_12_1_5_71_44",8,1986,NA,"",NA,"",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Hobiton Lake","48 deg 45 min","124 deg 49 min",NA,NA,30,30,"matches calculated orig_start_time and orig_end_time","00:22:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.71 g from 71, likely typo",0.64,"does NOT match calc_std_weight_g"
"1986-09-01","TR 2.5-1.5",6,"1986-12-05","10","00:30:00","01:00:00",30,12,2,"TRAWL",1,"Sockeye","Fry",58,1.86,52.01,126,1,1,"1",NA,NA,"1.85986328125",NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",13151,"1986-09-01_6_2_12","1986-09-01_6_2_12_1_1_58_48",9,1986,NA,"",NA,"",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Hobiton Lake","48 deg 45 min","124 deg 49 min",NA,NA,30,30,"matches calculated orig_start_time and orig_end_time","01:00:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"Weight=58 and length=48, mismatch, corrected to weight=1.86 length=58",1.67,"does NOT match calc_std_weight_g"
"1987-07-18","N",8,"1988-04-19","22","01:16:00",NA,15,7,4,"TRAWL",2,"Stickleback","",46,0.83,7.44,28,7,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",25611,"1987-07-18_8_4_7","1987-07-18_8_4_7_2_7_8.3_46",7,1987,NA,NA,"10% FORMALIN (WGHD AFT 5 WKS)","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Long Lake","51 deg 15 min","127 deg 10 min",NA,NA,NA,15,"duration could not be calculated","01:31:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.83 g from 83, likely typo",0.74,"does NOT match calc_std_weight_g"
"1987-07-30","2 1+ SOCKEYE",29,"1988-04-06","22","23:27:00",NA,15,10,3,"TRAWL",1,"Sockeye","Fry",39,0.56,50.22,71,35,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",3731,"1987-07-30_29_3_10","1987-07-30_29_3_10_1_35_56_39",7,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Devon Lake","53 deg 27 min","129 deg 45 min",NA,NA,NA,15,"duration could not be calculated","23:42:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.56 g from 56, likely typo",0.5,"does NOT match calc_std_weight_g"
"1987-07-30","2 1+ SOCKEYE",29,"1988-04-06","22","23:27:00",NA,15,10,3,"TRAWL",1,"Sockeye","Fry",38,0.52,46.63,71,8,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",3623,"1987-07-30_29_3_10","1987-07-30_29_3_10_1_8_52_38",7,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Devon Lake","53 deg 27 min","129 deg 45 min",NA,NA,NA,15,"duration could not be calculated","23:42:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.52 g from 52, likely typo",0.47,"does NOT match calc_std_weight_g"
"1987-07-30","",29,"1988-04-06","22","23:27:00",NA,15,10,3,"TRAWL",2,"Stickleback","",39,0.55,4.93,28,1,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",5757,"1987-07-30_29_3_10","1987-07-30_29_3_10_2_1_5.5_39",7,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Devon Lake","53 deg 27 min","129 deg 45 min",NA,NA,NA,15,"duration could not be calculated","23:42:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.55 g from 5.5, likely typo",0.49,"does NOT match calc_std_weight_g"
"1987-07-30","",29,"1988-04-06","22","23:27:00",NA,15,10,3,"TRAWL",2,"Stickleback","",46,0.88,7.89,28,2,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",5761,"1987-07-30_29_3_10","1987-07-30_29_3_10_2_2_8.8_46",7,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Devon Lake","53 deg 27 min","129 deg 45 min",NA,NA,NA,15,"duration could not be calculated","23:42:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.88 g from 8.8, likely typo",0.79,"does NOT match calc_std_weight_g"
"1987-07-30","",29,"1988-04-06","22","23:27:00",NA,15,10,3,"TRAWL",2,"Stickleback","",40,0.62,5.56,28,3,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",5765,"1987-07-30_29_3_10","1987-07-30_29_3_10_2_3_6.2_40",7,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Devon Lake","53 deg 27 min","129 deg 45 min",NA,NA,NA,15,"duration could not be calculated","23:42:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.62 g from 6.2, likely typo",0.56,"does NOT match calc_std_weight_g"
"1987-09-11","",21,"1988-04-29","53","21:53:00",NA,15,9,1,"TRAWL",2,"Stickleback","",67,2.56,22.96,101,46,1,"2",0,NA,"0","",NA,NA,NA,"trawl87.sas7bdat, trawl87.dat",32654,"1987-09-11_21_1_9","1987-09-11_21_1_9_2_46_25.6_67",9,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Nimpkish Lake","50 deg 25 min","125 deg 40 min",NA,NA,NA,15,"duration could not be calculated","22:08:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 2.56 g from 25.6, likely typo",2.3,"does NOT match calc_std_weight_g"
"1988-05-29","END OFTR6 TO START OFTR6 ONE 1+ FISH",44,"1988-01-12","22","00:54:00",NA,15,12,8,"TRAWL",1,"Sockeye","Fry",55,1.86,0.14,3,3,1,"2",0,"","0","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",41893,"1988-05-29_44_8_12","1988-05-29_44_8_12_1_3_1.86_55",5,1988,"",NA,"100% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Muriel Lake","49 deg 08 min","125 deg 36 min",NA,NA,NA,15,"duration could not be calculated","01:09:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,NA,1.67,"does NOT match calc_std_weight_g"
"1989-06-03","LOCATION TR6 > TR7.",41,"1990-03-19","64","04:00:00",NA,15,10,15,"2*2*7.5m TRAWL",7,"Sockeye","Fry",30,0.26,26.9,120,78,1,"2",0,"","0","",NA,NA,NA,"trawl89.sas7bdat, trawl89.dat",19825,"1989-06-03_41_15_10","1989-06-03_41_15_10_7_78_30_0.26",6,1989,"",NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,NA,15,"duration could not be calculated","04:15:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"Weight/length values were swapped in original file, corrected in final dataset",0.23,"does NOT match calc_std_weight_g"
"1989-06-25","EAST BASIN.TR16-TR8.200 OF APPROX 221 WERE PROCESSED.",8,"1990-03-22","37","00:02:00",NA,15,0,1,"2*2*7.5M TRAWL",2,"Stickleback","",35,0.37,33.18,200,66,1,"2",0,"","0","",NA,NA,NA,"trawl89.sas7bdat, trawl89.dat",27793,"1989-06-25_8_1_0","1989-06-25_8_1_0_2_66_37_35",6,1989,"",NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Long Lake","51 deg 15 min","127 deg 10 min",NA,NA,NA,15,"duration could not be calculated","00:17:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.37 g from 37, likely typo",0.33,"does NOT match calc_std_weight_g"
"1990-03-01","TR8-16-8.200 OF 589 STICKLEBACKS WERE PROCESSED.",8,"1990-06-20","35","20:02:00",NA,15,9,1,"2*2*7.5 TRAWL",2,"Stickleback","",35,0.34,30.49,200,154,1,"2",0,"","0","",NA,NA,NA,"trawl89.sas7bdat, trawl89.dat",62281,"1990-03-01_8_1_9","1990-03-01_8_1_9_2_154_34_35",3,1989,"",NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Long Lake","51 deg 15 min","127 deg 10 min",NA,NA,NA,15,"duration could not be calculated","20:17:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.34 g from 34, likely typo",0.3,"does NOT match calc_std_weight_g"
"1990-07-23","TR3-2.",107,"1990-11-14","35","03:24:00",NA,15,10,9,"2*2*7.5 NET",7,"Sockeye","Fry",40,0.75,67.26,40,28,1,"2",0,"","0","",NA,NA,NA,"trawl90.sas7bdat, trawl90.dat",601,"1990-07-23_107_9_10","1990-07-23_107_9_10_7_28_75_40",7,1990,NA,NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Cheewhat Lake","48 deg 41 min","125 deg 45 min",NA,NA,NA,15,"duration could not be calculated","03:39:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.75 g from 75, likely typo",0.67,"does NOT match calc_std_weight_g"
"1990-09-13","TR10.",801,"1991-03-21","71","05:37:00",NA,15,10,9,"2*2*7.5M NET",2,"Stickleback","",34,0.33,29.59,44,8,1,"2",0,"","0","",NA,NA,NA,"trawl90.sas7bdat, trawl90.dat",47671,"1990-09-13_801_9_10","1990-09-13_801_9_10_2_8_33_34",9,1990,NA,NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Long Lake (A)","51 deg 15 min","127 deg 13 min",NA,NA,NA,15,"duration could not be calculated","05:52:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.33 g from 33, likely typo",0.3,"does NOT match calc_std_weight_g"
"1991-03-12","TR8-7!",18,"1991-05-14","35","21:25:00",NA,15,7,2,"2*2*7.5M NET",2,"Stickleback","",33,0.36,32.28,13,8,1,"2",0,"","0","",NA,NA,NA,"trawl90.sas7bdat, trawl90.dat",58131,"1991-03-12_18_2_7","1991-03-12_18_2_7_2_8_36_33",3,1990,NA,NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Owikeno Lake","51 deg 41 min","126 deg 55 min",NA,NA,NA,15,"duration could not be calculated","21:40:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.36 from 36, likely typo",0.32,"does NOT match calc_std_weight_g"
"1991-09-11","NO TIME OR DURATION TIME.TR",64,"1992-01-14","37",NA,NA,NA,15,18,"NET",7,"Sockeye","Fry",58,1.73,19.92,46,44,2,"2",0,"","0","",NA,NA,NA,"trawl91.sas7bdat, TRAWL91.dat",8325,"1991-09-11_64_18_15","1991-09-11_64_18_15_7_44_17.3_58",9,1991,"",NA,"70 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,"Invalid format",NA,NA,1,"Oncorhynchus","nerka",NA,"Tahltan Lake","57 deg 57 min","131 deg 37 min",NA,"Greater than 60 min, likely error",NA,NA,"duration could not be calculated",NA,"end time could not be calculated",NA,"70% Ethanol - weighed after 5 weeks","ETOH_70pct_5weeks","std weight = weight/0.868429",0.868429,"",NA,NA,"Trawl",NA,"weight changed to 1.73 g from 17.3, likely typo",1.99,"does NOT match calc_std_weight_g"
"1991-10-24","TR",41,"1992-05-06","37","01:32:00",NA,15,12,3,"2*2*7.5 NET",2,"Stickleback","",36,0.42,3.77,96,33,1,"2",0,"","0","",NA,NA,NA,"trawl91.sas7bdat, TRAWL91.dat",32323,"1991-10-24_41_3_12","1991-10-24_41_3_12_2_33_4.2_36",10,1991,"",NA,"10% FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Missing information added","y",NA,NA,NA,NA,2,"Gasterosteus","aculeatus",NA,"Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,NA,15,"duration could not be calculated","01:47:00","orig_end_time missing, calculated from orig_start_time + orig_duration_minutes",NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.42 g from 4.2, likely typo",0.38,"does NOT match calc_std_weight_g"
