Stratum,Area,Transect,Length,Lake,LakeCode
30-40,102,Transect3,484,BONILLA,31
30-40,102,Transect4,0,BONILLA,31
40-50,78,Transect1,153,BONILLA,31
40-50,78,Transect2,364,BONILLA,31
40-50,78,Transect3,403,BONILLA,31
40-50,78,Transect4,0,BONILLA,31
05-Feb,1880,Transect1,538,Bear,16
05-Feb,1880,Transect2,1213,Bear,16
05-Feb,1880,Transect3,495,Bear,16
05-Feb,1880,Transect4,779,Bear,16
05-Feb,1880,Transect5,521,Bear,16
05-Feb,1880,Transect6,305,Bear,16
05-Mar,1484,Transect1,538,Bear,16
05-Mar,1484,Transect2,1213,Bear,16
05-Mar,1484,Transect3,495,Bear,16
05-Mar,1484,Transect4,779,Bear,16
05-Mar,1484,Transect5,521,Bear,16
05-Mar,1484,Transect6,305,Bear,16
10-May,1084,Transect1,454,Bear,16
10-May,1084,Transect2,1170,Bear,16
10-May,1084,Transect3,306,Bear,16
10-May,1084,Transect4,676,Bear,16
10-May,1084,Transect5,521,Bear,16
10-May,1084,Transect6,305,Bear,16
15-Oct,723,Transect1,364,Bear,16
15-Oct,723,Transect2,615,Bear,16
15-Oct,723,Transect3,232,Bear,16
15-Oct,723,Transect4,624,Bear,16
15-Oct,723,Transect5,509,Bear,16
15-Oct,723,Transect6,284,Bear,16
15-20,540,Transect1,213,Bear,16
15-20,540,Transect2,248,Bear,16
15-20,540,Transect3,153,Bear,16
15-20,540,Transect4,412,Bear,16
15-20,540,Transect5,484,Bear,16
15-20,540,Transect6,263,Bear,16
20-30,363,Transect1,73,Bear,16
20-30,363,Transect2,0,Bear,16
20-30,363,Transect3,43,Bear,16
20-30,363,Transect4,92,Bear,16
20-30,363,Transect5,453,Bear,16
20-30,363,Transect6,200,Bear,16
30-40,168,Transect1,0,Bear,16
30-40,168,Transect2,0,Bear,16
30-40,168,Transect3,0,Bear,16
30-40,168,Transect4,0,Bear,16
30-40,168,Transect5,391,Bear,16
30-40,168,Transect6,200,Bear,16
40-50,70,Transect1,0,Bear,16
40-50,70,Transect2,0,Bear,16
40-50,70,Transect3,0,Bear,16
40-50,70,Transect4,0,Bear,16
40-50,70,Transect5,273,Bear,16
40-50,70,Transect6,114,Bear,16
50-60,50,Transect1,0,Bear,16
50-60,50,Transect2,0,Bear,16
50-60,50,Transect3,0,Bear,16
50-60,50,Transect4,0,Bear,16
50-60,50,Transect5,143,Bear,16
50-60,50,Transect6,51,Bear,16
05-Feb,340,Transect1,300,Bonney,220
05-Feb,340,Transect2,409,Bonney,220
05-Feb,340,Transect3,440,Bonney,220
05-Feb,340,Transect4,610,Bonney,220
05-Feb,340,Transect5,410,Bonney,220
05-Feb,340,Transect6,794,Bonney,220
05-Feb,340,Transect7,758,Bonney,220
05-Feb,340,Transect8,859,Bonney,220
05-Feb,340,Transect9,763,Bonney,220
05-Mar,0,Transect1,0,Bonney,220
05-Mar,0,Transect2,0,Bonney,220
05-Mar,0,Transect3,0,Bonney,220
05-Mar,0,Transect4,0,Bonney,220
05-Mar,0,Transect5,0,Bonney,220
05-Mar,0,Transect6,0,Bonney,220
05-Mar,0,Transect7,0,Bonney,220
05-Mar,0,Transect8,0,Bonney,220
05-Mar,0,Transect9,0,Bonney,220
10-May,282,Transect1,255,Bonney,220
10-May,282,Transect2,378,Bonney,220
10-May,282,Transect3,420,Bonney,220
10-May,282,Transect4,518,Bonney,220
10-May,282,Transect5,290,Bonney,220
10-May,282,Transect6,760,Bonney,220
10-May,282,Transect7,741,Bonney,220
10-May,282,Transect8,807,Bonney,220
10-May,282,Transect9,734,Bonney,220
15-Oct,217,Transect1,217,Bonney,220
15-Oct,217,Transect2,335,Bonney,220
15-Oct,217,Transect3,370,Bonney,220
15-Oct,217,Transect4,424,Bonney,220
15-Oct,217,Transect5,147,Bonney,220
15-Oct,217,Transect6,703,Bonney,220
15-Oct,217,Transect7,696,Bonney,220
15-Oct,217,Transect8,738,Bonney,220
15-Oct,217,Transect9,715,Bonney,220
15-20,173,Transect1,183,Bonney,220
15-20,173,Transect2,299,Bonney,220
15-20,173,Transect3,345,Bonney,220
15-20,173,Transect4,360,Bonney,220
15-20,173,Transect5,30,Bonney,220
15-20,173,Transect6,632,Bonney,220
15-20,173,Transect7,659,Bonney,220
15-20,173,Transect8,692,Bonney,220
15-20,173,Transect9,643,Bonney,220
20-30,129,Transect1,132,Bonney,220
20-30,129,Transect2,233,Bonney,220
20-30,129,Transect3,106,Bonney,220
20-30,129,Transect4,286,Bonney,220
20-30,129,Transect5,0,Bonney,220
20-30,129,Transect6,423,Bonney,220
20-30,129,Transect7,606,Bonney,220
20-30,129,Transect8,639,Bonney,220
20-30,129,Transect9,538,Bonney,220
30-40,88,Transect1,58,Bonney,220
30-40,88,Transect2,96,Bonney,220
30-40,88,Transect3,14,Bonney,220
30-40,88,Transect4,117,Bonney,220
30-40,88,Transect5,0,Bonney,220
30-40,88,Transect6,165,Bonney,220
30-40,88,Transect7,542,Bonney,220
30-40,88,Transect8,506,Bonney,220
30-40,88,Transect9,418,Bonney,220
40-50,60,Transect1,0,Bonney,220
40-50,60,Transect2,0,Bonney,220
40-50,60,Transect3,0,Bonney,220
40-50,60,Transect4,0,Bonney,220
40-50,60,Transect5,0,Bonney,220
40-50,60,Transect6,16,Bonney,220
40-50,60,Transect7,423,Bonney,220
40-50,60,Transect8,446,Bonney,220
40-50,60,Transect9,344,Bonney,220
50-60,40,Transect1,0,Bonney,220
50-60,40,Transect2,0,Bonney,220
50-60,40,Transect3,0,Bonney,220
50-60,40,Transect4,0,Bonney,220
50-60,40,Transect5,0,Bonney,220
50-60,40,Transect6,0,Bonney,220
50-60,40,Transect7,344,Bonney,220
50-60,40,Transect8,350,Bonney,220
50-60,40,Transect9,233,Bonney,220
05-Feb,3206,Transect1,1499,Bowser,35
05-Feb,3206,Transect2,1248,Bowser,35
05-Feb,3206,Transect3,1802,Bowser,35
05-Feb,3206,Transect4,1115,Bowser,35
05-Feb,3206,Transect5,1645,Bowser,35
05-Feb,3206,Transect6,1201,Bowser,35
05-Mar,3081,Transect1,1499,Bowser,35
05-Mar,3081,Transect2,1248,Bowser,35
05-Mar,3081,Transect3,1802,Bowser,35
05-Mar,3081,Transect4,1115,Bowser,35
05-Mar,3081,Transect5,1627,Bowser,35
05-Mar,3081,Transect6,1065,Bowser,35
10-May,2763,Transect1,1472,Bowser,35
10-May,2763,Transect2,1208,Bowser,35
10-May,2763,Transect3,1802,Bowser,35
10-May,2763,Transect4,1100,Bowser,35
10-May,2763,Transect5,1522,Bowser,35
10-May,2763,Transect6,868,Bowser,35
15-Oct,2617,Transect1,1445,Bowser,35
15-Oct,2617,Transect2,1171,Bowser,35
15-Oct,2617,Transect3,1748,Bowser,35
15-Oct,2617,Transect4,1062,Bowser,35
15-Oct,2617,Transect5,1445,Bowser,35
15-Oct,2617,Transect6,830,Bowser,35
15-20,2470,Transect1,1417,Bowser,35
15-20,2470,Transect2,1149,Bowser,35
15-20,2470,Transect3,1711,Bowser,35
15-20,2470,Transect4,1031,Bowser,35
15-20,2470,Transect5,1390,Bowser,35
15-20,2470,Transect6,788,Bowser,35
20-30,2288,Transect1,1381,Bowser,35
20-30,2288,Transect2,1104,Bowser,35
20-30,2288,Transect3,1690,Bowser,35
20-30,2288,Transect4,993,Bowser,35
20-30,2288,Transect5,969,Bowser,35
20-30,2288,Transect6,690,Bowser,35
30-40,2044,Transect1,1344,Bowser,35
30-40,2044,Transect2,1093,Bowser,35
30-40,2044,Transect3,1649,Bowser,35
30-40,2044,Transect4,952,Bowser,35
30-40,2044,Transect5,765,Bowser,35
30-40,2044,Transect6,0,Bowser,35
40-50,1893,Transect1,1292,Bowser,35
40-50,1893,Transect2,1055,Bowser,35
40-50,1893,Transect3,1623,Bowser,35
40-50,1893,Transect4,921,Bowser,35
40-50,1893,Transect5,716,Bowser,35
40-50,1893,Transect6,0,Bowser,35
50-60,1690,Transect1,1249,Bowser,35
50-60,1690,Transect2,1008,Bowser,35
50-60,1690,Transect3,1593,Bowser,35
50-60,1690,Transect4,861,Bowser,35
50-60,1690,Transect5,454,Bowser,35
50-60,1690,Transect6,0,Bowser,35
05-Feb,89,Transect1,832,Brannen,161
05-Feb,89,Transect2,843,Brannen,161
05-Feb,89,Transect3,686,Brannen,161
05-Feb,89,Transect4,1135,Brannen,161
05-Feb,89,Transect5,1290,Brannen,161
05-Feb,89,Transect6,1156,Brannen,161
05-Mar,89,Transect1,832,Brannen,161
05-Mar,89,Transect2,843,Brannen,161
05-Mar,89,Transect3,686,Brannen,161
05-Mar,89,Transect4,1135,Brannen,161
05-Mar,89,Transect5,1290,Brannen,161
05-Mar,89,Transect6,1156,Brannen,161
10-May,64,Transect1,695,Brannen,161
10-May,64,Transect2,684,Brannen,161
10-May,64,Transect3,385,Brannen,161
10-May,64,Transect4,964,Brannen,161
10-May,64,Transect5,1173,Brannen,161
10-May,64,Transect6,1034,Brannen,161
15-Oct,45,Transect1,551,Brannen,161
15-Oct,45,Transect2,553,Brannen,161
15-Oct,45,Transect3,190,Brannen,161
15-Oct,45,Transect4,538,Brannen,161
15-Oct,45,Transect5,990,Brannen,161
15-Oct,45,Transect6,660,Brannen,161
15-20,19,Transect1,0,Brannen,161
15-20,19,Transect2,309,Brannen,161
15-20,19,Transect3,0,Brannen,161
15-20,19,Transect4,0,Brannen,161
15-20,19,Transect5,0,Brannen,161
15-20,19,Transect6,267,Brannen,161
05-Feb,140,Transect1,721,CHEEWHAT,107
05-Feb,140,Transect2,843,CHEEWHAT,107
05-Feb,140,Transect3,811,CHEEWHAT,107
05-Feb,140,Transect4,743,CHEEWHAT,107
05-Feb,140,Transect5,478,CHEEWHAT,107
05-Feb,140,Transect6,1391,CHEEWHAT,107
05-Mar,140,Transect1,721,CHEEWHAT,107
05-Mar,140,Transect2,843,CHEEWHAT,107
05-Mar,140,Transect3,811,CHEEWHAT,107
05-Mar,140,Transect4,743,CHEEWHAT,107
05-Mar,140,Transect5,478,CHEEWHAT,107
05-Mar,140,Transect6,1391,CHEEWHAT,107
10-May,86,Transect1,485,CHEEWHAT,107
10-May,86,Transect2,455,CHEEWHAT,107
10-May,86,Transect3,630,CHEEWHAT,107
10-May,86,Transect4,614,CHEEWHAT,107
10-May,86,Transect5,372,CHEEWHAT,107
10-May,86,Transect6,1114,CHEEWHAT,107
15-Oct,33,Transect1,0,CHEEWHAT,107
15-Oct,33,Transect2,301,CHEEWHAT,107
15-Oct,33,Transect3,464,CHEEWHAT,107
15-Oct,33,Transect4,517,CHEEWHAT,107
15-Oct,33,Transect5,239,CHEEWHAT,107
15-Oct,33,Transect6,368,CHEEWHAT,107
15-20,14,Transect1,0,CHEEWHAT,107
15-20,14,Transect2,0,CHEEWHAT,107
15-20,14,Transect3,315,CHEEWHAT,107
15-20,14,Transect4,348,CHEEWHAT,107
15-20,14,Transect5,0,CHEEWHAT,107
15-20,14,Transect6,150,CHEEWHAT,107
05-Feb,247,Transect1,679,CURTIS,28
05-Feb,247,Transect2,1012,CURTIS,28
05-Feb,247,Transect3,646,CURTIS,28
05-Feb,247,Transect4,698,CURTIS,28
05-Mar,247,Transect1,679,CURTIS,28
05-Mar,247,Transect2,1012,CURTIS,28
05-Mar,247,Transect3,646,CURTIS,28
05-Mar,247,Transect4,698,CURTIS,28
10-May,216,Transect1,656,CURTIS,28
10-May,216,Transect2,1004,CURTIS,28
10-May,216,Transect3,631,CURTIS,28
10-May,216,Transect4,564,CURTIS,28
15-Oct,198,Transect1,621,CURTIS,28
15-Oct,198,Transect2,965,CURTIS,28
15-Oct,198,Transect3,617,CURTIS,28
15-Oct,198,Transect4,504,CURTIS,28
15-20,186,Transect1,586,CURTIS,28
15-20,186,Transect2,960,CURTIS,28
15-20,186,Transect3,603,CURTIS,28
15-20,186,Transect4,455,CURTIS,28
20-30,164,Transect1,556,CURTIS,28
20-30,164,Transect2,743,CURTIS,28
20-30,164,Transect3,577,CURTIS,28
20-30,164,Transect4,231,CURTIS,28
30-40,129,Transect1,452,CURTIS,28
30-40,129,Transect2,645,CURTIS,28
30-40,129,Transect3,337,CURTIS,28
30-40,129,Transect4,134,CURTIS,28
40-50,93,Transect1,389,CURTIS,28
40-50,93,Transect2,588,CURTIS,28
40-50,93,Transect3,123,CURTIS,28
40-50,93,Transect4,0,CURTIS,28
50-60,63,Transect1,305,CURTIS,28
50-60,63,Transect2,510,CURTIS,28
50-60,63,Transect3,0,CURTIS,28
50-60,63,Transect4,0,CURTIS,28
60-70,40,Transect1,182,CURTIS,28
60-70,40,Transect2,421,CURTIS,28
60-70,40,Transect3,0,CURTIS,28
60-70,40,Transect4,0,CURTIS,28
05-Feb,128,Transect1,590,Christina,47
05-Feb,128,Transect2,627,Christina,47
05-Feb,128,Transect3,804,Christina,47
05-Feb,128,Transect4,422,Christina,47
05-Feb,128,Transect5,467,Christina,47
05-Mar,128,Transect1,590,Christina,47
05-Mar,128,Transect2,627,Christina,47
05-Mar,128,Transect3,804,Christina,47
05-Mar,128,Transect4,422,Christina,47
05-Mar,128,Transect5,467,Christina,47
10-May,108,Transect1,566,Christina,47
10-May,108,Transect2,563,Christina,47
10-May,108,Transect3,788,Christina,47
10-May,108,Transect4,388,Christina,47
10-May,108,Transect5,421,Christina,47
15-Oct,96,Transect1,540,Christina,47
15-Oct,96,Transect2,537,Christina,47
15-Oct,96,Transect3,761,Christina,47
15-Oct,96,Transect4,359,Christina,47
15-Oct,96,Transect5,257,Christina,47
15-20,84,Transect1,514,Christina,47
15-20,84,Transect2,511,Christina,47
15-20,84,Transect3,704,Christina,47
15-20,84,Transect4,300,Christina,47
15-20,84,Transect5,58,Christina,47
20-30,67,Transect1,479,Christina,47
20-30,67,Transect2,473,Christina,47
20-30,67,Transect3,568,Christina,47
20-30,67,Transect4,218,Christina,47
20-30,67,Transect5,0,Christina,47
30-40,41,Transect1,175,Christina,47
30-40,41,Transect2,363,Christina,47
30-40,41,Transect3,422,Christina,47
30-40,41,Transect4,0,Christina,47
30-40,41,Transect5,0,Christina,47
05-Feb,587,Transect1,1164,Chutine,48
05-Feb,587,Transect2,1043,Chutine,48
05-Feb,587,Transect3,1250,Chutine,48
05-Feb,587,Transect4,1108,Chutine,48
05-Feb,587,Transect5,1058,Chutine,48
05-Mar,587,Transect1,1164,Chutine,48
05-Mar,587,Transect2,1043,Chutine,48
05-Mar,587,Transect3,1250,Chutine,48
05-Mar,587,Transect4,1108,Chutine,48
05-Mar,587,Transect5,1058,Chutine,48
10-May,531,Transect1,1135,Chutine,48
10-May,531,Transect2,1031,Chutine,48
10-May,531,Transect3,1223,Chutine,48
10-May,531,Transect4,1063,Chutine,48
10-May,531,Transect5,1010,Chutine,48
15-Oct,490,Transect1,1107,Chutine,48
15-Oct,490,Transect2,1019,Chutine,48
15-Oct,490,Transect3,1202,Chutine,48
15-Oct,490,Transect4,923,Chutine,48
15-Oct,490,Transect5,776,Chutine,48
15-20,464,Transect1,1077,Chutine,48
15-20,464,Transect2,1007,Chutine,48
15-20,464,Transect3,1176,Chutine,48
15-20,464,Transect4,895,Chutine,48
15-20,464,Transect5,369,Chutine,48
20-30,434,Transect1,1044,Chutine,48
20-30,434,Transect2,992,Chutine,48
20-30,434,Transect3,1149,Chutine,48
20-30,434,Transect4,839,Chutine,48
20-30,434,Transect5,0,Chutine,48
30-40,401,Transect1,995,Chutine,48
30-40,401,Transect2,959,Chutine,48
30-40,401,Transect3,1104,Chutine,48
30-40,401,Transect4,738,Chutine,48
30-40,401,Transect5,0,Chutine,48
40-50,367,Transect1,959,Chutine,48
40-50,367,Transect2,930,Chutine,48
40-50,367,Transect3,1062,Chutine,48
40-50,367,Transect4,643,Chutine,48
40-50,367,Transect5,0,Chutine,48
50-60,340,Transect1,922,Chutine,48
50-60,340,Transect2,897,Chutine,48
50-60,340,Transect3,1009,Chutine,48
50-60,340,Transect4,573,Chutine,48
50-60,340,Transect5,0,Chutine,48
05-Feb,6222,Transect1,1840,Cowichan,185
05-Feb,6222,Transect2,2560,Cowichan,185
05-Feb,6222,Transect3,1820,Cowichan,185
05-Feb,6222,Transect4,2550,Cowichan,185
05-Feb,6222,Transect5,2570,Cowichan,185
05-Feb,6222,Transect6,1140,Cowichan,185
05-Feb,6222,Transect7,840,Cowichan,185
05-Mar,6222,Transect1,1840,Cowichan,185
05-Mar,6222,Transect2,2560,Cowichan,185
05-Mar,6222,Transect3,1820,Cowichan,185
05-Mar,6222,Transect4,2550,Cowichan,185
05-Mar,6222,Transect5,2570,Cowichan,185
05-Mar,6222,Transect6,1140,Cowichan,185
05-Mar,6222,Transect7,840,Cowichan,185
10-May,5944,Transect1,1840,Cowichan,185
10-May,5944,Transect2,2560,Cowichan,185
10-May,5944,Transect3,1820,Cowichan,185
10-May,5944,Transect4,2429,Cowichan,185
10-May,5944,Transect5,2471,Cowichan,185
10-May,5944,Transect6,1140,Cowichan,185
10-May,5944,Transect7,773,Cowichan,185
15-Oct,5667,Transect1,1840,Cowichan,185
15-Oct,5667,Transect2,2324,Cowichan,185
15-Oct,5667,Transect3,1801,Cowichan,185
15-Oct,5667,Transect4,2111,Cowichan,185
15-Oct,5667,Transect5,2341,Cowichan,185
15-Oct,5667,Transect6,1140,Cowichan,185
15-Oct,5667,Transect7,732,Cowichan,185
15-20,5389,Transect1,1799,Cowichan,185
15-20,5389,Transect2,2257,Cowichan,185
15-20,5389,Transect3,1777,Cowichan,185
15-20,5389,Transect4,1710,Cowichan,185
15-20,5389,Transect5,2238,Cowichan,185
15-20,5389,Transect6,1123,Cowichan,185
15-20,5389,Transect7,715,Cowichan,185
20-30,4970,Transect1,1714,Cowichan,185
20-30,4970,Transect2,2149,Cowichan,185
20-30,4970,Transect3,1767,Cowichan,185
20-30,4970,Transect4,1396,Cowichan,185
20-30,4970,Transect5,1977,Cowichan,185
20-30,4970,Transect6,1089,Cowichan,185
20-30,4970,Transect7,682,Cowichan,185
30-40,4408,Transect1,1625,Cowichan,185
30-40,4408,Transect2,1953,Cowichan,185
30-40,4408,Transect3,1738,Cowichan,185
30-40,4408,Transect4,918,Cowichan,185
30-40,4408,Transect5,1820,Cowichan,185
30-40,4408,Transect6,1041,Cowichan,185
30-40,4408,Transect7,640,Cowichan,185
40-50,3731,Transect1,1312,Cowichan,185
40-50,3731,Transect2,1455,Cowichan,185
40-50,3731,Transect3,1647,Cowichan,185
40-50,3731,Transect4,749,Cowichan,185
40-50,3731,Transect5,1694,Cowichan,185
40-50,3731,Transect6,1003,Cowichan,185
40-50,3731,Transect7,541,Cowichan,185
50-60,2937,Transect1,609,Cowichan,185
50-60,2937,Transect2,1151,Cowichan,185
50-60,2937,Transect3,1527,Cowichan,185
50-60,2937,Transect4,266,Cowichan,185
50-60,2937,Transect5,1550,Cowichan,185
50-60,2937,Transect6,951,Cowichan,185
50-60,2937,Transect7,499,Cowichan,185
05-Feb,167,Transect1,390,DEVON,29
05-Feb,167,Transect2,639,DEVON,29
05-Feb,167,Transect3,496,DEVON,29
05-Feb,167,Transect4,507,DEVON,29
05-Feb,167,Transect5,894,DEVON,29
05-Feb,167,Transect6,900,DEVON,29
05-Feb,167,Transect7,1100,DEVON,29
05-Mar,167,Transect1,390,DEVON,29
05-Mar,167,Transect2,639,DEVON,29
05-Mar,167,Transect3,496,DEVON,29
05-Mar,167,Transect4,507,DEVON,29
05-Mar,167,Transect5,894,DEVON,29
05-Mar,167,Transect6,900,DEVON,29
05-Mar,167,Transect7,1100,DEVON,29
10-May,152,Transect1,382,DEVON,29
10-May,152,Transect2,616,DEVON,29
10-May,152,Transect3,482,DEVON,29
10-May,152,Transect4,496,DEVON,29
10-May,152,Transect5,876,DEVON,29
10-May,152,Transect6,857,DEVON,29
10-May,152,Transect7,1072,DEVON,29
15-Oct,141,Transect1,369,DEVON,29
15-Oct,141,Transect2,597,DEVON,29
15-Oct,141,Transect3,467,DEVON,29
15-Oct,141,Transect4,483,DEVON,29
15-Oct,141,Transect5,857,DEVON,29
15-Oct,141,Transect6,814,DEVON,29
15-Oct,141,Transect7,1024,DEVON,29
15-20,131,Transect1,356,DEVON,29
15-20,131,Transect2,562,DEVON,29
15-20,131,Transect3,451,DEVON,29
15-20,131,Transect4,458,DEVON,29
15-20,131,Transect5,844,DEVON,29
15-20,131,Transect6,763,DEVON,29
15-20,131,Transect7,955,DEVON,29
20-30,112,Transect1,334,DEVON,29
20-30,112,Transect2,466,DEVON,29
20-30,112,Transect3,424,DEVON,29
20-30,112,Transect4,388,DEVON,29
20-30,112,Transect5,820,DEVON,29
20-30,112,Transect6,651,DEVON,29
20-30,112,Transect7,643,DEVON,29
30-40,68,Transect1,306,DEVON,29
30-40,68,Transect2,108,DEVON,29
30-40,68,Transect3,272,DEVON,29
30-40,68,Transect4,277,DEVON,29
30-40,68,Transect5,615,DEVON,29
30-40,68,Transect6,0,DEVON,29
30-40,68,Transect7,436,DEVON,29
40-50,26,Transect1,274,DEVON,29
40-50,26,Transect2,0,DEVON,29
40-50,26,Transect3,106,DEVON,29
40-50,26,Transect4,104,DEVON,29
40-50,26,Transect5,0,DEVON,29
40-50,26,Transect6,0,DEVON,29
40-50,26,Transect7,401,DEVON,29
50-60,10,Transect1,0,DEVON,29
50-60,10,Transect2,0,DEVON,29
50-60,10,Transect3,0,DEVON,29
50-60,10,Transect4,0,DEVON,29
50-60,10,Transect5,0,DEVON,29
50-60,10,Transect6,0,DEVON,29
50-60,10,Transect7,0,DEVON,29
60-70,4,Transect1,0,DEVON,29
60-70,4,Transect2,0,DEVON,29
60-70,4,Transect3,0,DEVON,29
60-70,4,Transect4,0,DEVON,29
60-70,4,Transect5,0,DEVON,29
60-70,4,Transect6,0,DEVON,29
60-70,4,Transect7,0,DEVON,29
05-Feb,134.5,Transect1,370,Damdochax,38
05-Feb,134.5,Transect2,587,Damdochax,38
05-Feb,134.5,Transect3,614,Damdochax,38
05-Feb,134.5,Transect4,677,Damdochax,38
05-Mar,125,Transect1,361,Damdochax,38
05-Mar,125,Transect2,583,Damdochax,38
05-Mar,125,Transect3,614,Damdochax,38
05-Mar,125,Transect4,667,Damdochax,38
10-May,101.6,Transect1,188,Damdochax,38
10-May,101.6,Transect2,402,Damdochax,38
10-May,101.6,Transect3,591,Damdochax,38
10-May,101.6,Transect4,640,Damdochax,38
15-Oct,54.3,Transect1,0,Damdochax,38
15-Oct,54.3,Transect2,0,Damdochax,38
15-Oct,54.3,Transect3,534,Damdochax,38
15-Oct,54.3,Transect4,385,Damdochax,38
15-20,12.4,Transect1,0,Damdochax,38
15-20,12.4,Transect2,0,Damdochax,38
15-20,12.4,Transect3,199,Damdochax,38
15-20,12.4,Transect4,0,Damdochax,38
05-Feb,173.7,Transect1,1145,Dragon,214
05-Feb,173.7,Transect2,1210.2,Dragon,214
