"ats_year","lake","lake_code","survey_date","target_survey_type","sounder_type","sounder_code","transect","depth_code","targets","prop_sockeye","source_file","line_number","survey_comments","acoustic_survey_notes","sequential_date_replicate"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,4,1,1,0.9,"TARGET89.DAT",17,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,4,2,0,NA,"TARGET89.DAT",23,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,4,3,54,0.9,"TARGET89.DAT",29,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,4,4,82,0.9,"TARGET89.DAT",35,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,4,5,31,0.9,"TARGET89.DAT",41,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,5,1,7,0.9,"TARGET89.DAT",18,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,5,2,0,NA,"TARGET89.DAT",24,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,5,3,25,0.9,"TARGET89.DAT",30,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,5,4,10,0.9,"TARGET89.DAT",36,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,5,5,0,NA,"TARGET89.DAT",42,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,6,1,2,0.9,"TARGET89.DAT",19,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,6,2,0,NA,"TARGET89.DAT",25,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,6,3,86,0.9,"TARGET89.DAT",31,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,6,4,376,0.9,"TARGET89.DAT",37,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,6,5,185,0.9,"TARGET89.DAT",43,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,1,1,4,0.9,"TARGET89.DAT",57,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,1,2,0,NA,"TARGET89.DAT",63,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,1,3,84,0.9,"TARGET89.DAT",69,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,1,4,65,0.9,"TARGET89.DAT",75,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,1,5,0,NA,"TARGET89.DAT",81,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,2,1,11,0.9,"TARGET89.DAT",58,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,2,2,0,NA,"TARGET89.DAT",64,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,2,3,57,0.9,"TARGET89.DAT",70,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,2,4,102,0.9,"TARGET89.DAT",76,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,2,5,1,0.9,"TARGET89.DAT",82,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,3,1,4,0.9,"TARGET89.DAT",59,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,3,2,0,NA,"TARGET89.DAT",65,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,3,3,69,0.9,"TARGET89.DAT",71,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,3,4,169,0.9,"TARGET89.DAT",77,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,3,5,101,0.9,"TARGET89.DAT",83,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,4,1,1,0.9,"TARGET89.DAT",60,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,4,2,0,NA,"TARGET89.DAT",66,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,4,3,53,0.9,"TARGET89.DAT",72,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,4,4,73,0.9,"TARGET89.DAT",78,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,4,5,31,0.9,"TARGET89.DAT",84,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,5,1,7,0.9,"TARGET89.DAT",61,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,5,2,0,NA,"TARGET89.DAT",67,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,5,3,21,0.9,"TARGET89.DAT",73,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,5,4,5,0.9,"TARGET89.DAT",79,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,5,5,0,NA,"TARGET89.DAT",85,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,6,1,3,0.9,"TARGET89.DAT",62,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,6,2,0,NA,"TARGET89.DAT",68,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,6,3,141,0.9,"TARGET89.DAT",74,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,6,4,371,0.9,"TARGET89.DAT",80,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-21,"JUVENILE","SIMRAD               ",2,6,5,162,0.9,"TARGET89.DAT",86,"processed by JC","clear,1/2full,at12.5,st18.5C@2320 Sx were .85-0+, .05-1+, .01-2+","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,1,1,5,0.8,"TARGET90.DAT",229,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,1,2,0,NA,"TARGET90.DAT",235,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,1,3,19,0.8,"TARGET90.DAT",241,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,1,4,23,0.85,"TARGET90.DAT",247,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,1,5,0,NA,"TARGET90.DAT",253,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,2,1,5,0.8,"TARGET90.DAT",230,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,2,2,0,NA,"TARGET90.DAT",236,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,2,3,30,0.8,"TARGET90.DAT",242,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,2,4,96,0.85,"TARGET90.DAT",248,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,2,5,0,NA,"TARGET90.DAT",254,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,3,1,2,0.8,"TARGET90.DAT",231,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,3,2,0,NA,"TARGET90.DAT",237,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,3,3,7,0.8,"TARGET90.DAT",243,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,3,4,108,0.85,"TARGET90.DAT",249,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,3,5,42,0.85,"TARGET90.DAT",255,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,4,1,5,0.8,"TARGET90.DAT",232,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,4,2,0,NA,"TARGET90.DAT",238,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,4,3,12,0.8,"TARGET90.DAT",244,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,4,4,16,0.85,"TARGET90.DAT",250,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,4,5,17,0.85,"TARGET90.DAT",256,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,5,1,4,0.8,"TARGET90.DAT",233,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,5,2,0,NA,"TARGET90.DAT",239,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,5,3,13,0.8,"TARGET90.DAT",245,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,5,4,8,0.85,"TARGET90.DAT",251,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,5,5,0,NA,"TARGET90.DAT",257,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,6,1,7,0.8,"TARGET90.DAT",234,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,6,2,0,NA,"TARGET90.DAT",240,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1990,"Cheewhat Lk",107,1990-10-02,"JUVENILE","SIMRAD               ",2,6,3,17,0.8,"TARGET90.DAT",246,"processed by JF, 11Jan91.","ovrcst,gstingwnd,hvyrn,AT11ST18degC. sx 60% smll,40% lge. JF, 11Jan91.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
