source,ats_year,lake_code,survey_date,lake_all_target,lake_merged_data,notes_all_target,notes_merged_data,file_all_target,file_merged_data
C_In_Both_RAW_and_FINAL_data,1977,3,1978-03-13,"HENDERSON                13-14, 1978",Henderson Lk,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,6,1977-10-05,HOBITON             NIGHT SURVEY,Hobiton Lk,TRANSECT #5 NOT SOUNDED,TRANSECT #5 NOT SOUNDED,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,6,1978-03-14,HOBITON,Hobiton Lk,NO TRAWL DATA,NO TRAWL DATA,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,40,1977-09-21,KCA,Kennedy Lk (Clayoquot Arm),OLD TRANSECTS,OLD TRANSECTS,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,40,1977-10-26,KCA                 NIGHT SURVEY,Kennedy Lk (Clayoquot Arm),OLD TRANSECTS,OLD TRANSECTS,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,40,1978-02-07,KCA,Kennedy Lk (Clayoquot Arm),OLD TRANSECTS. TR#15 & 16 NOT SOUNDED,OLD TRANSECTS. TR#15 & 16 NOT SOUNDED,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,41,1977-09-20,KMA,Kennedy Lk (Main Arm),OLD TRANSECTS,OLD TRANSECTS,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,41,1978-02-08,KMA,Kennedy Lk (Main Arm),OLD TRANSECTS.,OLD TRANSECTS.,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,801,1978-02-15,Long Lk (A),Long Lk (A),NO FISH ABOVE 15M. 1-15M. NOT SOUNDED,NO FISH ABOVE 15M. 1-15M. NOT SOUNDED,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,802,1978-02-16,Long Lk (B),Long Lk (B),NO FISH ABOVE 15M. 1-15M. NOT SOUNDED,NO FISH ABOVE 15M. 1-15M. NOT SOUNDED,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1978,1,1978-07-31,GCL                      JULY 31 1978 NIGHT SURVEY,Great Central Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,1,1978-09-06,GCL,Great Central Lk,NO TRAWLS DONE. TRANSECT #6 NOT SOUNDED,NO TRAWLS DONE. TRANSECT #6 NOT SOUNDED,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,1,1978-10-17,GCL                      OCTOBER 17 1978 NIGHT SURVEY,Great Central Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,1,1978-12-05,GCL                      DECEMBER 5-6 1978 NIGHT SURVEY,Great Central Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,3,1979-03-13,HENDERSON           NIGHT SURVEY,Henderson Lk,CLEAR FULL MOON,CLEAR FULL MOON,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,6,1979-03-14,HOBITON             NIGHT SURVEY,Hobiton Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,11,1978-10-05,FRED WRIGHT,Fred Wright Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,12,1978-07-10,ALISTAIR,Alastair Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,17,1978-06-29,KITLOPE             NIGHT SURVEY,Kitlope Lk,ESTIMATE BASED ON THREE TRANSECTS.,ESTIMATE BASED ON THREE TRANSECTS.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,17,1978-09-15,KITLOPE             NIGHT SURVEY,Kitlope Lk,INTERMITTENT RAIN,INTERMITTENT RAIN,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,20,1978-09-20,LOWE                DAY SURVEY,Lowe Lk,DAY SURVEY NO TRAWL DATA.,DAY SURVEY NO TRAWL DATA.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,21,1978-11-29,NIMPKISH,Nimpkish Lk,TR #8 NOT SOUNDED.,TR #8 NOT SOUNDED.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,22,1978-11-22,Woss Lk             processed by KS,Woss Lk,NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,23,1978-11-21,Vernon Lk           processed by pr,Vernon Lk,Trawl catch 100% sockeye,Trawl catch 100% sockeye,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,24,1978-11-20,Schoen Lk           processed by PR,Schoen Lk,no trawling,no trawling,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,40,1978-08-15,KCA,Kennedy Lk (Clayoquot Arm),OLD TRANSECTS. TR #13 & 16 NOT SOUNDED.,OLD TRANSECTS. TR #13 & 16 NOT SOUNDED.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,40,1978-11-15,KCA,Kennedy Lk (Clayoquot Arm),OLD  TRANSECTS.,OLD  TRANSECTS.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,41,1978-08-14,KMA,Kennedy Lk (Main Arm),OLD TRANSECTS.,OLD TRANSECTS.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,41,1978-11-16,KMA,Kennedy Lk (Main Arm),OLD TRANSECTS. NO TRAWL DATA. TR #14 NOT SOUNDED.,OLD TRANSECTS. NO TRAWL DATA. TR #14 NOT SOUNDED.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,801,1979-03-21,Long Lk (A),Long Lk (A),NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,802,1978-08-23,Long Lk (B)               NIGHT SURVEY,Long Lk (B),ALONG NOT SOUNDED TR#1-5.,ALONG NOT SOUNDED TR#1-5.,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1978,802,1979-03-22,Long Lk (B),Long Lk (B),NA,NA,TARGET78.DAT,TARGET78.DAT
C_In_Both_RAW_and_FINAL_data,1979,1,1979-07-18,GCL                      JULY 18 1979 NIGHT SURVEY,Great Central Lk,TR #1 & 6 NOT COUNTED TARGETS NOT CLEAR,TR #1 & 6 NOT COUNTED TARGETS NOT CLEAR,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,1,1979-12-20,GCL,Great Central Lk,Ratios adjusted for size selectivity.,Ratios adjusted for size selectivity.,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,2,1980-02-26,SPROAT,Sproat Lk,NO TRAWL DATA,NO TRAWL DATA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,6,1980-03-10,HOBITON,Hobiton Lk,NO TRAWL DATA,NO TRAWL DATA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,17,1979-10-18,KITLOPE             NIGHT SURVEY,Kitlope Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,20,1979-07-22,LOWE                      NIGHT SURVEY,Lowe Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,20,1979-10-13,LOWE                     1979 NIGHT SURVEY,Lowe Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,21,1979-11-06,NIMPKISH                 1979 NIGHT SURVEY,Nimpkish Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,22,1979-11-08,WOSS                     1979  NIGHT SURVEY,Woss Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,25,1979-08-04,EDEN                     79 NIGHT SURVEY,Eden Lk,7/8 CLOUD COVER MOON RISING,7/8 CLOUD COVER MOON RISING,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,26,1979-07-27,IAN                      NIGHT SURVEY.,Ian Lk,8/8 OVERCAST SHOWERS LIGHT CHOP,8/8 OVERCAST SHOWERS LIGHT CHOP,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,27,1979-07-31,AWUN                     NIGHT SURVEY,Awun Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,28,1979-10-14,CURTIS                   1979 NIGHT SURVEY.,Curtis Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,29,1979-10-08,DEVON                    1979,Devon Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,31,1979-10-04,BONILLA                  79 NIGHT SURVEY,Bonilla Lk,NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,40,1980-01-23,KCA,Kennedy Lk (Clayoquot Arm),TR #7 NOT SOUNDED.,TR #7 NOT SOUNDED.,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,41,1980-01-22,KMA,Kennedy Lk (Main Arm),TRANSECT #7 NOT SOUNDED,TRANSECT #7 NOT SOUNDED,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,801,1979-08-27,Long Lk (A),Long Lk (A),NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1979,802,1979-08-28,Long Lk (B),Long Lk (B),NA,NA,TARGET79.DAT,TARGET79.DAT
C_In_Both_RAW_and_FINAL_data,1980,1,1980-08-27,GCL,Great Central Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,1,1980-11-27,GCL                 NIGHT SURVEY,Great Central Lk,"ESTIMATE DBASED ON TR #1,4&6 ONLY","ESTIMATE DBASED ON TR #1,4&6 ONLY",TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,2,1981-01-20,SPROAT                   1981 NIGHT SURVEY,Sproat Lk,RAIN 1-5M. NOT COUNTED DUE TO INTERFERENCE FROM ROUGH WATER.,RAIN 1-5M. NOT COUNTED DUE TO INTERFERENCE FROM ROUGH WATER.,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,3,1980-08-11,HENDERSON                1980 NIGHT SURVEY,Henderson Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,3,1980-10-20,"HENDERSON                20-21, 1980 NIGHT SURVEY",Henderson Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,6,1980-09-12,HOBITON,Hobiton Lk,NO TRAWL DATA,NO TRAWL DATA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,6,1981-02-24,HOBITON,Hobiton Lk,NO TRAWL DATA,NO TRAWL DATA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,17,1980-09-24,KITLOPE             NIGHT SURVEY,Kitlope Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,20,1980-09-18,LOWE,Lowe Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,21,1980-11-04,NIMPKISH,Nimpkish Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,22,1980-11-06,WOSS                     NIGHT SURVEY,Woss Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,25,1980-07-29,EDEN,Eden Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,26,1980-07-24,IAN,Ian Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,27,1980-07-30,AWUN,Awun Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,28,1980-09-21,CURTIS,Curtis Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,29,1980-09-20,DEVON,Devon Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,31,1980-09-17,BONILLA                  1980,Bonilla Lk,NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,32,1980-07-26,MERCER                   1980 NIGHT SURVEY,Mercer Lk,TRANSECT #4 NOT SOUNDED,TRANSECT #4 NOT SOUNDED,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,40,1981-02-04,KCA,Kennedy Lk (Clayoquot Arm),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,41,1981-02-03,KMA,Kennedy Lk (Main Arm),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,801,1980-08-14,Long Lk (A),Long Lk (A),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,801,1980-10-22,Long Lk (A)               NIGHT SURVEY,Long Lk (A),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,801,1981-02-26,Long Lk (A),Long Lk (A),SPECIES BREAKDOWN QUESTIONABLE INCOMPLETE TRAWL DATA,SPECIES BREAKDOWN QUESTIONABLE INCOMPLETE TRAWL DATA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,802,1980-08-15,Long Lk (B),Long Lk (B),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,802,1980-10-23,Long Lk (B)               NIGHT SURVEY,Long Lk (B),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1980,802,1981-02-27,Long Lk (B),Long Lk (B),NA,NA,TARGET80.DAT,TARGET80.DAT
C_In_Both_RAW_and_FINAL_data,1981,1,1981-07-29,"GCL                      JULY. 29, 1981 NIGHT SURVEY",Great Central Lk,TR #5 & 6 NOT SOUNDED,TR #5 & 6 NOT SOUNDED,TARGET81.DAT,TARGET81.DAT
C_In_Both_RAW_and_FINAL_data,1981,1,1981-09-14,"GCL                      SEPTEMBER. 14, 1981",Great Central Lk,NA,NA,TARGET81.DAT,TARGET81.DAT
C_In_Both_RAW_and_FINAL_data,1981,1,1981-12-12,"GCL                      DECEMBER. 9, 1981 NIGHT SURVEY",Great Central Lk,NA,NA,TARGET81.DAT,TARGET81.DAT
C_In_Both_RAW_and_FINAL_data,1981,1,1982-02-02,GCL,Great Central Lk,"CALM WATER,SOME ICE","CALM WATER,SOME ICE",TARGET81.DAT,TARGET81.DAT
C_In_Both_RAW_and_FINAL_data,1981,2,1981-08-05,SPROAT                   1981 NIGHT SURVEY,Sproat Lk,NA,NA,TARGET81.DAT,TARGET81.DAT
