"ats_year","lake_code","lake_name","survey_date_trawl","interval_start","interval_end","survey_date_acoustic","source_file","match_status_acoustic","overlap_status_acoustic","count_acoustic_survey","data_note"
"1977","40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-14","1977-09-28",1977-09-21,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","40","Kennedy_Lake_(Clay)",1977-09-22,"1977-09-15","1977-09-29",1977-09-21,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-19","1977-11-02",1977-10-26,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1977","40","Kennedy_Lake_(Clay)",1978-02-07,"1978-01-31","1978-02-14",1978-02-07,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","40","Kennedy_Lake_(Clay)",1978-02-08,"1978-02-01","1978-02-15",1978-02-07,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","41","Kennedy_Lake_(Main)",1977-08-15,"1977-08-08","1977-08-22",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","41","Kennedy_Lake_(Main)",1977-08-16,"1977-08-09","1977-08-23",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","41","Kennedy_Lake_(Main)",1977-09-20,"1977-09-13","1977-09-27",1977-09-20,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","41","Kennedy_Lake_(Main)",1977-09-21,"1977-09-14","1977-09-28",1977-09-20,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","41","Kennedy_Lake_(Main)",1978-02-09,"1978-02-02","1978-02-16",1978-02-08,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1977","8","Long_Lake",1978-02-15,"1978-02-08","1978-02-22",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","801","Long_Lake_(A)",NA,NA,NA,1978-02-15,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1977","802","Long_Lake_(B)",NA,NA,NA,1978-02-16,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","12","Alastair_Lake",1978-07-10,"1978-07-03","1978-07-17",1978-07-10,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","12","Alastair_Lake",1978-10-08,"1978-10-01","1978-10-15",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","16","Bear_Lake",1978-07-16,"1978-07-09","1978-07-23",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","16","Bear_Lake",1978-07-17,"1978-07-10","1978-07-24",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","16","Bear_Lake",1978-11-25,"1978-11-18","1978-12-02",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","11","Fred_Wright_Lake",1978-06-26,"1978-06-19","1978-07-03",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","11","Fred_Wright_Lake",1978-10-05,"1978-09-28","1978-10-12",1978-10-05,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","1","Great_Central_Lake",1979-02-27,"1979-02-20","1979-03-06",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","1","Great_Central_Lake",NA,NA,NA,1978-07-31,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","1","Great_Central_Lake",NA,NA,NA,1978-09-06,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","1","Great_Central_Lake",NA,NA,NA,1978-10-17,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","1","Great_Central_Lake",NA,NA,NA,1978-12-05,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","3","Henderson_Lake",1979-03-13,"1979-03-06","1979-03-20",1979-03-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","3","Henderson_Lake",1979-03-14,"1979-03-07","1979-03-21",1979-03-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","6","Hobiton_Lake",1979-03-14,"1979-03-07","1979-03-21",1979-03-14,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-07-19,"1978-07-12","1978-07-26",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-08-16,"1978-08-09","1978-08-23",1978-08-15,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-09-13,"1978-09-06","1978-09-20",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-09-14,"1978-09-07","1978-09-21",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-11-15,"1978-11-08","1978-11-22",1978-11-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-11-16,"1978-11-09","1978-11-23",1978-11-15,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1978-11-30,"1978-11-23","1978-12-07",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","40","Kennedy_Lake_(Clay)",1979-03-28,"1979-03-21","1979-04-04",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","41","Kennedy_Lake_(Main)",1978-08-16,"1978-08-09","1978-08-23",1978-08-14,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","41","Kennedy_Lake_(Main)",1978-08-17,"1978-08-10","1978-08-24",1978-08-14,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","41","Kennedy_Lake_(Main)",1978-09-12,"1978-09-05","1978-09-19",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","41","Kennedy_Lake_(Main)",1978-09-13,"1978-09-06","1978-09-20",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","41","Kennedy_Lake_(Main)",1978-11-16,"1978-11-09","1978-11-23",1978-11-16,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","17","Kitlope_Lake",1978-06-29,"1978-06-22","1978-07-06",1978-06-29,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","17","Kitlope_Lake",1978-06-30,"1978-06-23","1978-07-07",1978-06-29,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1978","17","Kitlope_Lake",1978-09-15,"1978-09-08","1978-09-22",1978-09-15,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","8","Long_Lake",1978-08-23,"1978-08-16","1978-08-30",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","8","Long_Lake",1978-08-24,"1978-08-17","1978-08-31",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","8","Long_Lake",1979-03-21,"1979-03-14","1979-03-28",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","8","Long_Lake",1979-03-22,"1979-03-15","1979-03-29",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","801","Long_Lake_(A)",NA,NA,NA,1979-03-21,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","802","Long_Lake_(B)",NA,NA,NA,1978-08-23,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","802","Long_Lake_(B)",NA,NA,NA,1979-03-22,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","20","Lowe_Lake",1978-09-20,"1978-09-13","1978-09-27",1978-09-20,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","43","Meziadin_Lake",1978-06-23,"1978-06-16","1978-06-30",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","43","Meziadin_Lake",1978-06-24,"1978-06-17","1978-07-01",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","43","Meziadin_Lake",1978-10-11,"1978-10-04","1978-10-18",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","15","Morice_Lake",1978-07-24,"1978-07-17","1978-07-31",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","15","Morice_Lake",1978-07-25,"1978-07-18","1978-08-01",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","21","Nimpkish_Lake",1978-11-30,"1978-11-23","1978-12-07",1978-11-29,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","18","Owikeno_Lake",1978-09-26,"1978-09-19","1978-10-03",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","18","Owikeno_Lake",1978-09-27,"1978-09-20","1978-10-04",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","24","Schoen_Lake",NA,NA,NA,1978-11-20,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1978","19","Simpson_Lake",1978-07-20,"1978-07-13","1978-07-27",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","14","Stephens_Lake",1978-07-06,"1978-06-29","1978-07-13",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","14","Stephens_Lake",1978-10-01,"1978-09-24","1978-10-08",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","13","Swan_Lake",1978-07-04,"1978-06-27","1978-07-11",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","13","Swan_Lake",1978-07-05,"1978-06-28","1978-07-12",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","13","Swan_Lake",1978-09-30,"1978-09-23","1978-10-07",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1978","23","Vernon_Lake",1978-11-23,"1978-11-16","1978-11-30",1978-11-21,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1978","22","Woss_Lake",1978-11-22,"1978-11-15","1978-11-29",1978-11-22,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","27","Awun_Lake",1979-08-01,"1979-07-25","1979-08-08",1979-07-31,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","31","Bonilla_Lake",1979-10-04,"1979-09-27","1979-10-11",1979-10-04,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","28","Curtis_Lake",1979-10-14,"1979-10-07","1979-10-21",1979-10-14,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","29","Devon_Lake",1979-10-08,"1979-10-01","1979-10-15",1979-10-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","29","Devon_Lake",1979-10-09,"1979-10-02","1979-10-16",1979-10-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","25","Eden_Lake",1979-08-04,"1979-07-28","1979-08-11",1979-08-04,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","25","Eden_Lake",1979-08-05,"1979-07-29","1979-08-12",1979-08-04,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-05-02,"1979-04-25","1979-05-09",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-07-19,"1979-07-12","1979-07-26",1979-07-18,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-08-22,"1979-08-15","1979-08-29",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-08-23,"1979-08-16","1979-08-30",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-11-01,"1979-10-25","1979-11-08",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-11-02,"1979-10-26","1979-11-09",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","1","Great_Central_Lake",1979-12-19,"1979-12-12","1979-12-26",1979-12-20,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","1","Great_Central_Lake",1980-01-14,"1980-01-07","1980-01-21",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","1","Great_Central_Lake",1980-01-15,"1980-01-08","1980-01-22",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","3","Henderson_Lake",1979-11-27,"1979-11-20","1979-12-04",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","6","Hobiton_Lake",1980-03-01,"1980-02-23","1980-03-08",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","6","Hobiton_Lake",1980-03-02,"1980-02-24","1980-03-09",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","6","Hobiton_Lake",1980-03-11,"1980-03-04","1980-03-18",1980-03-10,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","26","Ian_Lake",1979-07-28,"1979-07-21","1979-08-04",1979-07-27,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","26","Ian_Lake",1979-07-29,"1979-07-22","1979-08-05",1979-07-27,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1979-07-25,"1979-07-18","1979-08-01",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1979-07-26,"1979-07-19","1979-08-02",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1979-09-11,"1979-09-04","1979-09-18",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1979-09-12,"1979-09-05","1979-09-19",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1979-11-06,"1979-10-30","1979-11-13",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1979-11-07,"1979-10-31","1979-11-14",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-16","1980-01-30",1980-01-23,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1979-07-26,"1979-07-19","1979-08-02",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1979-07-27,"1979-07-20","1979-08-03",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1979-09-12,"1979-09-05","1979-09-19",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1979-09-13,"1979-09-06","1979-09-20",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1979-11-07,"1979-10-31","1979-11-14",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1980-01-22,"1980-01-15","1980-01-29",1980-01-22,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","41","Kennedy_Lake_(Main)",1980-01-23,"1980-01-16","1980-01-30",1980-01-22,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","17","Kitlope_Lake",1979-07-19,"1979-07-12","1979-07-26",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","17","Kitlope_Lake",1979-07-20,"1979-07-13","1979-07-27",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","17","Kitlope_Lake",1979-10-18,"1979-10-11","1979-10-25",1979-10-18,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","17","Kitlope_Lake",1979-10-19,"1979-10-12","1979-10-26",1979-10-18,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","8","Long_Lake",1979-08-28,"1979-08-21","1979-09-04",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","801","Long_Lake_(A)",NA,NA,NA,1979-08-27,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1979","802","Long_Lake_(B)",NA,NA,NA,1979-08-28,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1979","20","Lowe_Lake",1979-07-14,"1979-07-07","1979-07-21",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","20","Lowe_Lake",1979-07-23,"1979-07-16","1979-07-30",1979-07-22,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","20","Lowe_Lake",1979-10-13,"1979-10-06","1979-10-20",1979-10-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","20","Lowe_Lake",1979-10-14,"1979-10-07","1979-10-21",1979-10-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","32","Mercer_Lake",1979-08-01,"1979-07-25","1979-08-08",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","32","Mercer_Lake",1979-08-02,"1979-07-26","1979-08-09",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1979","21","Nimpkish_Lake",1979-11-07,"1979-10-31","1979-11-14",1979-11-06,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1979","2","Sproat_Lake",1980-02-26,"1980-02-19","1980-03-04",1980-02-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1979","2","Sproat_Lake",1980-03-02,"1980-02-24","1980-03-09",1980-02-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1979","2","Sproat_Lake",1980-03-03,"1980-02-25","1980-03-10",1980-02-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1979","2","Sproat_Lake",1980-03-04,"1980-02-26","1980-03-11",1980-02-26,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",4,"Trawl data rescued"
"1979","22","Woss_Lake",1979-11-08,"1979-11-01","1979-11-15",1979-11-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1979","22","Woss_Lake",1979-11-09,"1979-11-02","1979-11-16",1979-11-08,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","27","Awun_Lake",1980-07-31,"1980-07-24","1980-08-07",1980-07-30,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1980","31","Bonilla_Lake",1980-09-17,"1980-09-10","1980-09-24",1980-09-17,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","31","Bonilla_Lake",1980-09-18,"1980-09-11","1980-09-25",1980-09-17,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","28","Curtis_Lake",1980-09-21,"1980-09-14","1980-09-28",1980-09-21,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","28","Curtis_Lake",1980-09-22,"1980-09-15","1980-09-29",1980-09-21,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","29","Devon_Lake",1980-09-20,"1980-09-13","1980-09-27",1980-09-20,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1980","25","Eden_Lake",1980-07-30,"1980-07-23","1980-08-06",1980-07-29,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1980","1","Great_Central_Lake",1980-08-27,"1980-08-20","1980-09-03",1980-08-27,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","1","Great_Central_Lake",1980-08-28,"1980-08-21","1980-09-04",1980-08-27,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","1","Great_Central_Lake",1980-09-23,"1980-09-16","1980-09-30",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","1","Great_Central_Lake",1980-09-24,"1980-09-17","1980-10-01",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","1","Great_Central_Lake",1980-11-27,"1980-11-20","1980-12-04",1980-11-27,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1980","3","Henderson_Lake",1980-10-20,"1980-10-13","1980-10-27",1980-10-20,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","3","Henderson_Lake",1980-10-21,"1980-10-14","1980-10-28",1980-10-20,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","3","Henderson_Lake",NA,NA,NA,1980-08-11,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","6","Hobiton_Lake",NA,NA,NA,1980-09-12,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","6","Hobiton_Lake",NA,NA,NA,1981-02-24,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","26","Ian_Lake",1980-07-25,"1980-07-18","1980-08-01",1980-07-24,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","26","Ian_Lake",1980-07-26,"1980-07-19","1980-08-02",1980-07-24,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","40","Kennedy_Lake_(Clay)",1981-02-04,"1981-01-28","1981-02-11",1981-02-04,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1980","41","Kennedy_Lake_(Main)",1981-02-03,"1981-01-27","1981-02-10",1981-02-03,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1980","17","Kitlope_Lake",1980-09-24,"1980-09-17","1980-10-01",1980-09-24,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","17","Kitlope_Lake",1980-09-25,"1980-09-18","1980-10-02",1980-09-24,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1980","8","Long_Lake",1980-05-13,"1980-05-06","1980-05-20",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","8","Long_Lake",1980-05-14,"1980-05-07","1980-05-21",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","8","Long_Lake",1980-08-14,"1980-08-07","1980-08-21",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","8","Long_Lake",1980-08-15,"1980-08-08","1980-08-22",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","8","Long_Lake",1980-10-22,"1980-10-15","1980-10-29",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","8","Long_Lake",1981-02-26,"1981-02-19","1981-03-05",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1980","801","Long_Lake_(A)",NA,NA,NA,1980-08-14,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","801","Long_Lake_(A)",NA,NA,NA,1980-10-22,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","801","Long_Lake_(A)",NA,NA,NA,1981-02-26,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","802","Long_Lake_(B)",NA,NA,NA,1980-08-15,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","802","Long_Lake_(B)",NA,NA,NA,1980-10-23,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","802","Long_Lake_(B)",NA,NA,NA,1981-02-27,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1980","20","Lowe_Lake",1980-09-18,"1980-09-11","1980-09-25",1980-09-18,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
