"ats_year","survey_date","lake_code","lake_name","count_trawl","count_acoustic","survey_match"
1978,"1978-06-24",43,"Meziadin Lake",126,NA,"Trawl only"
1978,"1978-06-26",11,"Fred Wright Lake",285,NA,"Trawl only"
1978,"1978-06-29",17,"Kitlope Lake",6,40,"Match"
1978,"1978-06-30",17,"Kitlope Lake",44,NA,"Trawl only"
1978,"1978-07-04",13,"Swan Lake",2,NA,"Trawl only"
1978,"1978-07-05",13,"Swan Lake",17,NA,"Trawl only"
1978,"1978-07-06",14,"Stephens Lake",33,NA,"Trawl only"
1978,"1978-07-10",12,"Alastair Lake",73,45,"Match"
1978,"1978-07-16",16,"Bear Lake",9,NA,"Trawl only"
1978,"1978-07-17",16,"Bear Lake",1,NA,"Trawl only"
1978,"1978-07-19",40,"Kennedy Lake (Clay)",106,NA,"Trawl only"
1978,"1978-07-20",19,"Simpson Lake",3,NA,"Trawl only"
1978,"1978-07-24",15,"Morice Lake",4,NA,"Trawl only"
1978,"1978-07-25",15,"Morice Lake",1,NA,"Trawl only"
1978,"1978-07-31",1,"Great Central Lake",NA,78,"Acoustic only"
1978,"1978-08-14",41,"Kennedy Lake (Main)",NA,150,"Acoustic only"
1978,"1978-08-15",40,"Kennedy Lake (Clay)",NA,160,"Acoustic only"
1978,"1978-08-16",40,"Kennedy Lake (Clay)",681,NA,"Trawl only"
1978,"1978-08-16",41,"Kennedy Lake (Main)",135,NA,"Trawl only"
1978,"1978-08-17",41,"Kennedy Lake (Main)",172,NA,"Trawl only"
1978,"1978-08-23",8,"Long Lake",7,NA,"Trawl only"
1978,"1978-08-23",802,"Long Lake (B)",NA,70,"Acoustic only"
1978,"1978-08-24",8,"Long Lake",30,NA,"Trawl only"
1978,"1978-09-06",1,"Great Central Lake",NA,78,"Acoustic only"
1978,"1978-09-12",41,"Kennedy Lake (Main)",93,NA,"Trawl only"
1978,"1978-09-13",40,"Kennedy Lake (Clay)",221,NA,"Trawl only"
1978,"1978-09-13",41,"Kennedy Lake (Main)",163,NA,"Trawl only"
1978,"1978-09-14",40,"Kennedy Lake (Clay)",247,NA,"Trawl only"
1978,"1978-09-15",17,"Kitlope Lake",16,40,"Match"
1978,"1978-09-20",20,"Lowe Lake",7,36,"Match"
1978,"1978-09-26",18,"Owikeno Lake",180,NA,"Trawl only"
1978,"1978-09-27",18,"Owikeno Lake",123,NA,"Trawl only"
1978,"1978-09-30",13,"Swan Lake",7,NA,"Trawl only"
1978,"1978-10-01",14,"Stephens Lake",17,NA,"Trawl only"
1978,"1978-10-05",11,"Fred Wright Lake",249,32,"Match"
1978,"1978-10-08",12,"Alastair Lake",96,NA,"Trawl only"
1978,"1978-10-11",43,"Meziadin Lake",245,NA,"Trawl only"
1978,"1978-10-17",1,"Great Central Lake",NA,78,"Acoustic only"
1978,"1978-11-15",40,"Kennedy Lake (Clay)",224,160,"Match"
1978,"1978-11-16",40,"Kennedy Lake (Clay)",132,NA,"Trawl only"
1978,"1978-11-16",41,"Kennedy Lake (Main)",281,150,"Match"
1978,"1978-11-20",24,"Schoen Lake",NA,36,"Acoustic only"
1978,"1978-11-21",23,"Vernon Lake",NA,36,"Acoustic only"
1978,"1978-11-22",22,"Woss Lake",67,55,"Match"
1978,"1978-11-23",23,"Vernon Lake",13,NA,"Trawl only"
1978,"1978-11-25",16,"Bear Lake",3,NA,"Trawl only"
1978,"1978-11-29",21,"Nimpkish Lake",NA,88,"Acoustic only"
1978,"1978-11-30",40,"Kennedy Lake (Clay)",319,NA,"Trawl only"
1978,"1978-11-30",21,"Nimpkish Lake",31,NA,"Trawl only"
1978,"1978-12-05",1,"Great Central Lake",NA,78,"Acoustic only"
1978,"1979-02-27",1,"Great Central Lake",61,NA,"Trawl only"
1978,"1979-03-13",3,"Henderson Lake",43,180,"Match"
1978,"1979-03-14",3,"Henderson Lake",6,NA,"Trawl only"
1978,"1979-03-14",6,"Hobiton Lake",10,99,"Match"
1978,"1979-03-21",8,"Long Lake",24,NA,"Trawl only"
1978,"1979-03-21",801,"Long Lake (A)",NA,90,"Acoustic only"
1978,"1979-03-22",8,"Long Lake",55,NA,"Trawl only"
1978,"1979-03-22",802,"Long Lake (B)",NA,70,"Acoustic only"
1978,"1979-03-28",40,"Kennedy Lake (Clay)",274,NA,"Trawl only"
1979,"1979-05-02",1,"Great Central Lake",13,NA,"Trawl only"
1979,"1979-07-14",20,"Lowe Lake",76,NA,"Trawl only"
1979,"1979-07-18",1,"Great Central Lake",NA,78,"Acoustic only"
1979,"1979-07-19",1,"Great Central Lake",334,NA,"Trawl only"
1979,"1979-07-19",17,"Kitlope Lake",34,NA,"Trawl only"
1979,"1979-07-20",17,"Kitlope Lake",24,NA,"Trawl only"
1979,"1979-07-22",20,"Lowe Lake",NA,36,"Acoustic only"
1979,"1979-07-23",20,"Lowe Lake",453,NA,"Trawl only"
1979,"1979-07-25",40,"Kennedy Lake (Clay)",182,NA,"Trawl only"
1979,"1979-07-26",40,"Kennedy Lake (Clay)",660,NA,"Trawl only"
1979,"1979-07-26",41,"Kennedy Lake (Main)",123,NA,"Trawl only"
1979,"1979-07-27",26,"Ian Lake",NA,90,"Acoustic only"
1979,"1979-07-27",41,"Kennedy Lake (Main)",690,NA,"Trawl only"
1979,"1979-07-28",26,"Ian Lake",6,NA,"Trawl only"
1979,"1979-07-29",26,"Ian Lake",79,NA,"Trawl only"
1979,"1979-07-31",27,"Awun Lake",NA,40,"Acoustic only"
1979,"1979-08-01",27,"Awun Lake",250,NA,"Trawl only"
1979,"1979-08-01",32,"Mercer Lake",461,NA,"Trawl only"
1979,"1979-08-02",32,"Mercer Lake",164,NA,"Trawl only"
1979,"1979-08-04",25,"Eden Lake",13,40,"Match"
1979,"1979-08-05",25,"Eden Lake",200,NA,"Trawl only"
1979,"1979-08-22",1,"Great Central Lake",14,NA,"Trawl only"
1979,"1979-08-23",1,"Great Central Lake",105,NA,"Trawl only"
1979,"1979-08-27",801,"Long Lake (A)",NA,90,"Acoustic only"
1979,"1979-08-28",8,"Long Lake",624,NA,"Trawl only"
1979,"1979-08-28",802,"Long Lake (B)",NA,70,"Acoustic only"
1979,"1979-09-11",40,"Kennedy Lake (Clay)",385,NA,"Trawl only"
1979,"1979-09-12",40,"Kennedy Lake (Clay)",135,NA,"Trawl only"
1979,"1979-09-12",41,"Kennedy Lake (Main)",773,NA,"Trawl only"
1979,"1979-09-13",41,"Kennedy Lake (Main)",261,NA,"Trawl only"
1979,"1979-10-04",31,"Bonilla Lake",949,32,"Match"
1979,"1979-10-08",29,"Devon Lake",294,70,"Match"
1979,"1979-10-09",29,"Devon Lake",459,NA,"Trawl only"
1979,"1979-10-13",20,"Lowe Lake",193,36,"Match"
1979,"1979-10-14",28,"Curtis Lake",459,40,"Match"
1979,"1979-10-14",20,"Lowe Lake",76,NA,"Trawl only"
1979,"1979-10-18",17,"Kitlope Lake",56,40,"Match"
1979,"1979-10-19",17,"Kitlope Lake",11,NA,"Trawl only"
1979,"1979-11-01",1,"Great Central Lake",93,NA,"Trawl only"
1979,"1979-11-02",1,"Great Central Lake",90,NA,"Trawl only"
1979,"1979-11-06",40,"Kennedy Lake (Clay)",773,NA,"Trawl only"
1979,"1979-11-06",21,"Nimpkish Lake",NA,88,"Acoustic only"
1979,"1979-11-07",40,"Kennedy Lake (Clay)",79,NA,"Trawl only"
1979,"1979-11-07",41,"Kennedy Lake (Main)",502,NA,"Trawl only"
1979,"1979-11-07",21,"Nimpkish Lake",57,NA,"Trawl only"
1979,"1979-11-08",22,"Woss Lake",29,55,"Match"
1979,"1979-11-09",22,"Woss Lake",12,NA,"Trawl only"
1979,"1979-11-27",3,"Henderson Lake",88,NA,"Trawl only"
1979,"1979-12-19",1,"Great Central Lake",191,NA,"Trawl only"
1979,"1979-12-20",1,"Great Central Lake",NA,78,"Acoustic only"
1979,"1980-01-14",1,"Great Central Lake",18,NA,"Trawl only"
1979,"1980-01-15",1,"Great Central Lake",74,NA,"Trawl only"
1979,"1980-01-22",41,"Kennedy Lake (Main)",533,150,"Match"
1979,"1980-01-23",40,"Kennedy Lake (Clay)",374,160,"Match"
1979,"1980-01-23",41,"Kennedy Lake (Main)",513,NA,"Trawl only"
1979,"1980-02-26",2,"Sproat Lake",50,121,"Match"
1979,"1980-03-01",6,"Hobiton Lake",2,NA,"Trawl only"
1979,"1980-03-02",6,"Hobiton Lake",55,NA,"Trawl only"
1979,"1980-03-02",2,"Sproat Lake",13,NA,"Trawl only"
1979,"1980-03-03",2,"Sproat Lake",83,NA,"Trawl only"
1979,"1980-03-04",2,"Sproat Lake",14,NA,"Trawl only"
1979,"1980-03-10",6,"Hobiton Lake",NA,99,"Acoustic only"
1979,"1980-03-11",6,"Hobiton Lake",2,NA,"Trawl only"
1980,"1980-05-13",8,"Long Lake",154,NA,"Trawl only"
1980,"1980-05-14",8,"Long Lake",15,NA,"Trawl only"
1980,"1980-07-24",26,"Ian Lake",NA,90,"Acoustic only"
1980,"1980-07-25",26,"Ian Lake",3,NA,"Trawl only"
1980,"1980-07-26",26,"Ian Lake",16,NA,"Trawl only"
1980,"1980-07-26",32,"Mercer Lake",NA,42,"Acoustic only"
1980,"1980-07-27",32,"Mercer Lake",376,NA,"Trawl only"
1980,"1980-07-29",25,"Eden Lake",NA,40,"Acoustic only"
1980,"1980-07-30",27,"Awun Lake",NA,40,"Acoustic only"
1980,"1980-07-30",25,"Eden Lake",83,NA,"Trawl only"
1980,"1980-07-31",27,"Awun Lake",445,NA,"Trawl only"
1980,"1980-08-11",3,"Henderson Lake",NA,180,"Acoustic only"
1980,"1980-08-14",8,"Long Lake",339,NA,"Trawl only"
1980,"1980-08-14",801,"Long Lake (A)",NA,90,"Acoustic only"
1980,"1980-08-15",8,"Long Lake",263,NA,"Trawl only"
1980,"1980-08-15",802,"Long Lake (B)",NA,70,"Acoustic only"
1980,"1980-08-27",1,"Great Central Lake",163,78,"Match"
1980,"1980-08-28",1,"Great Central Lake",56,NA,"Trawl only"
1980,"1980-09-12",6,"Hobiton Lake",NA,99,"Acoustic only"
1980,"1980-09-17",31,"Bonilla Lake",519,32,"Match"
1980,"1980-09-18",31,"Bonilla Lake",108,NA,"Trawl only"
1980,"1980-09-18",20,"Lowe Lake",5,36,"Match"
1980,"1980-09-19",20,"Lowe Lake",5,NA,"Trawl only"
1980,"1980-09-20",29,"Devon Lake",2172,70,"Match"
1980,"1980-09-21",28,"Curtis Lake",512,40,"Match"
1980,"1980-09-22",28,"Curtis Lake",688,NA,"Trawl only"
1980,"1980-09-23",1,"Great Central Lake",21,NA,"Trawl only"
1980,"1980-09-24",1,"Great Central Lake",77,NA,"Trawl only"
1980,"1980-09-24",17,"Kitlope Lake",25,40,"Match"
1980,"1980-09-25",17,"Kitlope Lake",11,NA,"Trawl only"
1980,"1980-10-20",3,"Henderson Lake",17,180,"Match"
1980,"1980-10-21",3,"Henderson Lake",31,NA,"Trawl only"
1980,"1980-10-22",8,"Long Lake",212,NA,"Trawl only"
1980,"1980-10-22",801,"Long Lake (A)",NA,90,"Acoustic only"
1980,"1980-10-23",802,"Long Lake (B)",NA,70,"Acoustic only"
1980,"1980-11-03",23,"Vernon Lake",6,NA,"Trawl only"
1980,"1980-11-04",21,"Nimpkish Lake",47,88,"Match"
1980,"1980-11-05",21,"Nimpkish Lake",102,NA,"Trawl only"
1980,"1980-11-06",22,"Woss Lake",29,55,"Match"
1980,"1980-11-27",1,"Great Central Lake",303,78,"Match"
1980,"1981-01-20",2,"Sproat Lake",25,121,"Match"
1980,"1981-01-21",2,"Sproat Lake",242,NA,"Trawl only"
1980,"1981-02-03",41,"Kennedy Lake (Main)",890,150,"Match"
1980,"1981-02-04",40,"Kennedy Lake (Clay)",502,160,"Match"
1980,"1981-02-24",6,"Hobiton Lake",NA,99,"Acoustic only"
1980,"1981-02-26",8,"Long Lake",421,NA,"Trawl only"
1980,"1981-02-26",801,"Long Lake (A)",NA,90,"Acoustic only"
1980,"1981-02-27",802,"Long Lake (B)",NA,70,"Acoustic only"
1981,"1981-07-18",31,"Bonilla Lake",154,NA,"Trawl only"
1981,"1981-07-19",31,"Bonilla Lake",592,NA,"Trawl only"
1981,"1981-07-20",28,"Curtis Lake",734,40,"Match"
1981,"1981-07-29",1,"Great Central Lake",202,78,"Match"
1981,"1981-07-30",1,"Great Central Lake",1,NA,"Trawl only"
1981,"1981-08-05",2,"Sproat Lake",27,121,"Match"
1981,"1981-08-06",2,"Sproat Lake",154,NA,"Trawl only"
1981,"1981-08-08",22,"Woss Lake",NA,55,"Acoustic only"
1981,"1981-08-12",3,"Henderson Lake",9,180,"Match"
1981,"1981-08-13",3,"Henderson Lake",39,NA,"Trawl only"
1981,"1981-08-13",6,"Hobiton Lake",165,99,"Match"
1981,"1981-08-14",6,"Hobiton Lake",4,NA,"Trawl only"
1981,"1981-08-15",22,"Woss Lake",133,NA,"Trawl only"
1981,"1981-08-16",21,"Nimpkish Lake",126,88,"Match"
1981,"1981-08-17",21,"Nimpkish Lake",2,NA,"Trawl only"
1981,"1981-08-19",31,"Bonilla Lake",32,32,"Match"
1981,"1981-08-20",31,"Bonilla Lake",440,NA,"Trawl only"
1981,"1981-08-24",8,"Long Lake",27,NA,"Trawl only"
1981,"1981-08-25",8,"Long Lake",287,NA,"Trawl only"
1981,"1981-08-25",801,"Long Lake (A)",NA,90,"Acoustic only"
1981,"1981-08-26",802,"Long Lake (B)",NA,70,"Acoustic only"
1981,"1981-09-02",40,"Kennedy Lake (Clay)",381,160,"Match"
1981,"1981-09-03",40,"Kennedy Lake (Clay)",178,NA,"Trawl only"
1981,"1981-09-03",41,"Kennedy Lake (Main)",259,NA,"Trawl only"
1981,"1981-09-04",40,"Kennedy Lake (Clay)",126,NA,"Trawl only"
1981,"1981-09-04",41,"Kennedy Lake (Main)",933,150,"Match"
1981,"1981-09-14",1,"Great Central Lake",NA,78,"Acoustic only"
1981,"1981-09-15",1,"Great Central Lake",105,NA,"Trawl only"
1981,"1981-09-16",1,"Great Central Lake",44,NA,"Trawl only"
1981,"1981-09-17",22,"Woss Lake",14,55,"Match"
1981,"1981-09-18",21,"Nimpkish Lake",129,88,"Match"
1981,"1981-09-18",22,"Woss Lake",51,NA,"Trawl only"
1981,"1981-09-20",31,"Bonilla Lake",471,32,"Match"
1981,"1981-09-21",31,"Bonilla Lake",39,NA,"Trawl only"
1981,"1981-09-21",28,"Curtis Lake",195,40,"Match"
1981,"1981-09-22",28,"Curtis Lake",158,NA,"Trawl only"
1981,"1981-09-22",29,"Devon Lake",324,70,"Match"
1981,"1981-09-25",8,"Long Lake",119,NA,"Trawl only"
1981,"1981-09-25",801,"Long Lake (A)",NA,90,"Acoustic only"
1981,"1981-09-26",8,"Long Lake",77,NA,"Trawl only"
1981,"1981-09-26",802,"Long Lake (B)",NA,70,"Acoustic only"
1981,"1981-09-28",1,"Great Central Lake",701,NA,"Trawl only"
1981,"1981-09-29",2,"Sproat Lake",NA,121,"Acoustic only"
1981,"1981-09-30",2,"Sproat Lake",190,NA,"Trawl only"
1981,"1981-10-07",27,"Awun Lake",5,40,"Match"
1981,"1981-10-07",25,"Eden Lake",NA,40,"Acoustic only"
1981,"1981-10-08",27,"Awun Lake",20,NA,"Trawl only"
1981,"1981-10-08",25,"Eden Lake",50,NA,"Trawl only"
1981,"1981-10-09",25,"Eden Lake",13,NA,"Trawl only"
1981,"1981-10-09",32,"Mercer Lake",269,42,"Match"
1981,"1981-10-11",26,"Ian Lake",8,90,"Match"
1981,"1981-10-14",20,"Lowe Lake",16,36,"Match"
1981,"1981-10-15",20,"Lowe Lake",10,NA,"Trawl only"
1981,"1981-10-21",3,"Henderson Lake",29,180,"Match"
1981,"1981-10-22",3,"Henderson Lake",1,NA,"Trawl only"
1981,"1981-10-22",6,"Hobiton Lake",115,99,"Match"
1981,"1981-12-03",2,"Sproat Lake",NA,121,"Acoustic only"
1981,"1981-12-09",1,"Great Central Lake",189,NA,"Trawl only"
1981,"1981-12-12",1,"Great Central Lake",NA,78,"Acoustic only"
1981,"1981-12-15",41,"Kennedy Lake (Main)",1085,150,"Match"
1981,"1981-12-16",40,"Kennedy Lake (Clay)",161,160,"Match"
1981,"1982-02-02",1,"Great Central Lake",324,78,"Match"
1981,"1982-03-06",3,"Henderson Lake",16,180,"Match"
1981,"1982-03-10",40,"Kennedy Lake (Clay)",NA,160,"Acoustic only"
1981,"1982-03-10",41,"Kennedy Lake (Main)",422,150,"Match"
1981,"1982-03-11",40,"Kennedy Lake (Clay)",172,NA,"Trawl only"
1981,"1982-03-12",40,"Kennedy Lake (Clay)",79,NA,"Trawl only"
1982,"1982-04-13",31,"Bonilla Lake",28,32,"Match"
1982,"1982-04-14",31,"Bonilla Lake",207,NA,"Trawl only"
1982,"1982-06-14",3,"Henderson Lake",NA,180,"Acoustic only"
1982,"1982-06-15",3,"Henderson Lake",146,NA,"Trawl only"
1982,"1982-06-17",21,"Nimpkish Lake",8,NA,"Trawl only"
1982,"1982-06-18",21,"Nimpkish Lake",11,NA,"Trawl only"
1982,"1982-07-15",40,"Kennedy Lake (Clay)",136,160,"Match"
1982,"1982-07-16",40,"Kennedy Lake (Clay)",496,NA,"Trawl only"
1982,"1982-07-20",3,"Henderson Lake",63,180,"Match"
1982,"1982-07-21",3,"Henderson Lake",11,NA,"Trawl only"
1982,"1982-07-22",21,"Nimpkish Lake",129,88,"Match"
1982,"1982-07-23",21,"Nimpkish Lake",46,NA,"Trawl only"
1982,"1982-07-24",801,"Long Lake (A)",NA,90,"Acoustic only"
1982,"1982-07-25",8,"Long Lake",55,NA,"Trawl only"
1982,"1982-07-26",8,"Long Lake",58,NA,"Trawl only"
1982,"1982-07-26",802,"Long Lake (B)",NA,70,"Acoustic only"
1982,"1982-08-09",1,"Great Central Lake",678,78,"Match"
1982,"1982-08-10",3,"Henderson Lake",NA,180,"Acoustic only"
1982,"1982-08-11",3,"Henderson Lake",112,NA,"Trawl only"
1982,"1982-08-13",6,"Hobiton Lake",165,99,"Match"
1982,"1982-08-14",6,"Hobiton Lake",2,NA,"Trawl only"
1982,"1982-08-15",801,"Long Lake (A)",NA,90,"Acoustic only"
1982,"1982-08-16",8,"Long Lake",191,NA,"Trawl only"
1982,"1982-08-16",802,"Long Lake (B)",NA,70,"Acoustic only"
1982,"1982-08-17",21,"Nimpkish Lake",NA,88,"Acoustic only"
1982,"1982-08-18",21,"Nimpkish Lake",79,NA,"Trawl only"
1982,"1982-08-19",21,"Nimpkish Lake",35,NA,"Trawl only"
1982,"1982-08-19",22,"Woss Lake",NA,55,"Acoustic only"
1982,"1982-08-20",22,"Woss Lake",302,NA,"Trawl only"
1982,"1982-08-25",2,"Sproat Lake",13,121,"Match"
1982,"1982-08-26",2,"Sproat Lake",196,NA,"Trawl only"
1982,"1982-08-27",2,"Sproat Lake",97,NA,"Trawl only"
1982,"1982-09-14",40,"Kennedy Lake (Clay)",NA,160,"Acoustic only"
1982,"1982-09-14",41,"Kennedy Lake (Main)",980,150,"Match"
1982,"1982-09-15",40,"Kennedy Lake (Clay)",511,NA,"Trawl only"
1982,"1982-09-15",41,"Kennedy Lake (Main)",370,NA,"Trawl only"
1982,"1982-09-16",40,"Kennedy Lake (Clay)",127,NA,"Trawl only"
1982,"1982-09-21",6,"Hobiton Lake",NA,99,"Acoustic only"
1982,"1982-09-22",6,"Hobiton Lake",NA,99,"Acoustic only"
1982,"1982-09-27",27,"Awun Lake",57,40,"Match"
1982,"1982-09-28",27,"Awun Lake",30,NA,"Trawl only"
1982,"1982-09-29",25,"Eden Lake",100,40,"Match"
1982,"1982-09-30",26,"Ian Lake",NA,90,"Acoustic only"
1982,"1982-10-01",26,"Ian Lake",8,NA,"Trawl only"
1982,"1982-10-02",69,"Yakoun Lake",NA,120,"Acoustic only"
1982,"1982-10-03",69,"Yakoun Lake",118,NA,"Trawl only"
1982,"1982-10-04",31,"Bonilla Lake",524,32,"Match"
1982,"1982-10-20",20,"Lowe Lake",15,36,"Match"
1982,"1982-11-10",2,"Sproat Lake",NA,121,"Acoustic only"
1982,"1982-11-11",1,"Great Central Lake",111,78,"Match"
1982,"1982-11-17",21,"Nimpkish Lake",81,88,"Match"
1982,"1982-11-18",21,"Nimpkish Lake",22,NA,"Trawl only"
1982,"1982-11-24",8,"Long Lake",109,NA,"Trawl only"
1982,"1982-11-24",801,"Long Lake (A)",NA,90,"Acoustic only"
1982,"1982-11-26",8,"Long Lake",10,NA,"Trawl only"
1982,"1982-11-26",802,"Long Lake (B)",NA,70,"Acoustic only"
1982,"1982-11-29",22,"Woss Lake",40,55,"Match"
1982,"1982-11-30",3,"Henderson Lake",93,180,"Match"
1982,"1982-12-01",6,"Hobiton Lake",32,99,"Match"
1982,"1983-01-18",1,"Great Central Lake",139,78,"Match"
1982,"1983-02-02",32,"Mercer Lake",447,42,"Match"
1982,"1983-02-04",28,"Curtis Lake",35,40,"Match"
1982,"1983-02-05",29,"Devon Lake",212,70,"Match"
1982,"1983-02-05",1,"Great Central Lake",324,NA,"Trawl only"
1982,"1983-03-02",2,"Sproat Lake",57,121,"Match"
1982,"1983-03-03",2,"Sproat Lake",136,NA,"Trawl only"
1982,"1983-03-09",44,"Muriel Lake",23,80,"Match"
1982,"1983-03-15",6,"Hobiton Lake",20,99,"Match"
1982,"1983-03-23",41,"Kennedy Lake (Main)",80,150,"Match"
1982,"1983-03-24",40,"Kennedy Lake (Clay)",135,NA,"Trawl only"
1982,"1983-03-25",40,"Kennedy Lake (Clay)",NA,160,"Acoustic only"
1983,"1983-05-06",8,"Long Lake",173,NA,"Trawl only"
1983,"1983-06-01",21,"Nimpkish Lake",62,88,"Match"
1983,"1983-06-02",21,"Nimpkish Lake",73,NA,"Trawl only"
1983,"1983-06-03",8,"Long Lake",234,NA,"Trawl only"
1983,"1983-06-03",801,"Long Lake (A)",NA,90,"Acoustic only"
1983,"1983-06-03",21,"Nimpkish Lake",174,NA,"Trawl only"
1983,"1983-06-04",8,"Long Lake",24,NA,"Trawl only"
1983,"1983-06-04",802,"Long Lake (B)",NA,70,"Acoustic only"
1983,"1983-06-05",8,"Long Lake",34,NA,"Trawl only"
1983,"1983-06-21",44,"Muriel Lake",NA,80,"Acoustic only"
1983,"1983-06-22",44,"Muriel Lake",76,NA,"Trawl only"
1983,"1983-06-28",6,"Hobiton Lake",NA,99,"Acoustic only"
1983,"1983-06-29",6,"Hobiton Lake",NA,99,"Acoustic only"
1983,"1983-07-18",8,"Long Lake",414,NA,"Trawl only"
1983,"1983-07-18",801,"Long Lake (A)",NA,90,"Acoustic only"
1983,"1983-07-19",8,"Long Lake",98,NA,"Trawl only"
1983,"1983-07-19",802,"Long Lake (B)",NA,70,"Acoustic only"
1983,"1983-07-20",22,"Woss Lake",119,55,"Match"
1983,"1983-07-21",21,"Nimpkish Lake",21,88,"Match"
1983,"1983-07-22",21,"Nimpkish Lake",21,NA,"Trawl only"
1983,"1983-07-24",6,"Hobiton Lake",1,99,"Match"
1983,"1983-07-25",3,"Henderson Lake",119,180,"Match"
1983,"1983-07-25",6,"Hobiton Lake",134,NA,"Trawl only"
1983,"1983-07-26",3,"Henderson Lake",2,NA,"Trawl only"
1983,"1983-08-21",22,"Woss Lake",40,NA,"Trawl only"
1983,"1983-08-22",22,"Woss Lake",14,55,"Match"
1983,"1983-08-23",110,"Port John Lake",95,40,"Match"
1983,"1983-08-23",2,"Sproat Lake",16,121,"Match"
1983,"1983-08-24",8,"Long Lake",113,NA,"Trawl only"
1983,"1983-08-24",801,"Long Lake (A)",NA,90,"Acoustic only"
1983,"1983-08-24",2,"Sproat Lake",161,NA,"Trawl only"
1983,"1983-08-25",8,"Long Lake",86,NA,"Trawl only"
1983,"1983-08-25",802,"Long Lake (B)",NA,70,"Acoustic only"
1983,"1983-08-25",2,"Sproat Lake",54,NA,"Trawl only"
1983,"1983-08-26",21,"Nimpkish Lake",50,88,"Match"
1983,"1983-08-27",21,"Nimpkish Lake",86,NA,"Trawl only"
1983,"1983-08-29",27,"Awun Lake",90,40,"Match"
1983,"1983-08-30",27,"Awun Lake",2,NA,"Trawl only"
1983,"1983-08-30",1,"Great Central Lake",183,78,"Match"
1983,"1983-08-31",1,"Great Central Lake",51,NA,"Trawl only"
1983,"1983-08-31",32,"Mercer Lake",193,42,"Match"
1983,"1983-09-01",26,"Ian Lake",14,90,"Match"
1983,"1983-09-01",44,"Muriel Lake",9,80,"Match"
1983,"1983-09-02",25,"Eden Lake",23,40,"Match"
1983,"1983-09-03",25,"Eden Lake",19,NA,"Trawl only"
1983,"1983-09-03",69,"Yakoun Lake",NA,120,"Acoustic only"
1983,"1983-09-05",20,"Lowe Lake",120,36,"Match"
1983,"1983-09-07",31,"Bonilla Lake",186,32,"Match"
1983,"1983-09-08",31,"Bonilla Lake",37,NA,"Trawl only"
1983,"1983-09-08",28,"Curtis Lake",187,40,"Match"
1983,"1983-09-09",28,"Curtis Lake",42,NA,"Trawl only"
1983,"1983-09-09",29,"Devon Lake",203,70,"Match"
1983,"1983-09-10",69,"Yakoun Lake",NA,120,"Acoustic only"
1983,"1983-09-11",69,"Yakoun Lake",3,NA,"Trawl only"
1983,"1983-09-12",69,"Yakoun Lake",109,NA,"Trawl only"
1983,"1983-09-13",41,"Kennedy Lake (Main)",940,150,"Match"
1983,"1983-09-14",3,"Henderson Lake",113,180,"Match"
1983,"1983-09-14",40,"Kennedy Lake (Clay)",325,160,"Match"
1983,"1983-09-14",41,"Kennedy Lake (Main)",240,NA,"Trawl only"
1983,"1983-09-15",3,"Henderson Lake",1,NA,"Trawl only"
