"ats_year","lake_code","lake_name","survey_date_trawl","survey_date_acoustic","survey_date_inventory","interval_start","interval_end","source_file","match_status","match_status_inventory","final_match"
"1979","17","Kitlope_Lake",NA,NA,1979-07-19,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","17","Kitlope_Lake",NA,NA,1979-07-20,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","17","Kitlope_Lake",NA,NA,1979-10-19,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","801","Long_Lake_(A)",NA,1979-08-27,1979-08-27,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1979","802","Long_Lake_(B)",NA,1979-08-28,1979-08-28,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1979","20","Lowe_Lake",1979-10-13,1979-10-13,1979-10-13,"1979-10-11","1979-10-15","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","20","Lowe_Lake",1979-10-14,1979-10-13,1979-10-13,"1979-10-12","1979-10-16","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","20","Lowe_Lake",NA,NA,1979-07-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","20","Lowe_Lake",NA,NA,1979-07-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","20","Lowe_Lake",NA,NA,1979-10-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","32","Mercer_Lake",NA,NA,1979-08-01,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","32","Mercer_Lake",NA,NA,1979-08-02,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","21","Nimpkish_Lake",1979-11-07,1979-11-06,1979-11-06,"1979-11-05","1979-11-09","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","21","Nimpkish_Lake",NA,NA,1979-11-07,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","2","Sproat_Lake",1980-02-26,1980-02-26,1980-02-26,"1980-02-24","1980-02-28","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","2","Sproat_Lake",NA,NA,1980-03-02,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","2","Sproat_Lake",NA,NA,1980-03-03,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","2","Sproat_Lake",NA,NA,1980-03-04,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","22","Woss_Lake",1979-11-08,1979-11-08,1979-11-08,"1979-11-06","1979-11-10","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","22","Woss_Lake",1979-11-09,1979-11-08,1979-11-08,"1979-11-07","1979-11-11","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","22","Woss_Lake",NA,NA,1979-11-09,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","27","Awun_Lake",NA,NA,1980-07-31,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","31","Bonilla_Lake",1980-09-17,1980-09-17,1980-09-17,"1980-09-15","1980-09-19","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","31","Bonilla_Lake",1980-09-18,1980-09-17,1980-09-17,"1980-09-16","1980-09-20","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","31","Bonilla_Lake",NA,NA,1980-09-18,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","28","Curtis_Lake",1980-09-21,1980-09-21,1980-09-21,"1980-09-19","1980-09-23","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","28","Curtis_Lake",1980-09-22,1980-09-21,1980-09-21,"1980-09-20","1980-09-24","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","28","Curtis_Lake",NA,NA,1980-09-22,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","29","Devon_Lake",1980-09-20,1980-09-20,1980-09-20,"1980-09-18","1980-09-22","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","25","Eden_Lake",NA,NA,1980-07-30,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","1","Great_Central_Lake",1980-08-27,1980-08-27,1980-08-27,"1980-08-25","1980-08-29","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","1","Great_Central_Lake",1980-08-28,1980-08-27,1980-08-27,"1980-08-26","1980-08-30","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","1","Great_Central_Lake",1980-11-27,1980-11-27,1980-11-27,"1980-11-25","1980-11-29","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","1","Great_Central_Lake",NA,NA,1980-08-28,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","1","Great_Central_Lake",NA,NA,1980-09-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","1","Great_Central_Lake",NA,NA,1980-09-24,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","3","Henderson_Lake",1980-10-20,1980-10-20,1980-10-20,"1980-10-18","1980-10-22","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","3","Henderson_Lake",1980-10-21,1980-10-20,1980-10-20,"1980-10-19","1980-10-23","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","3","Henderson_Lake",NA,1980-08-11,1980-08-11,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","3","Henderson_Lake",NA,NA,1980-10-21,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","6","Hobiton_Lake",NA,1980-09-12,1980-09-12,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","6","Hobiton_Lake",NA,1981-02-24,1981-02-24,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","26","Ian_Lake",NA,NA,1980-07-25,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","26","Ian_Lake",NA,NA,1980-07-26,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","40","Kennedy_Lake_(Clay)",1981-02-04,1981-02-04,1981-02-04,"1981-02-02","1981-02-06","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","41","Kennedy_Lake_(Main)",1981-02-03,1981-02-03,1981-02-03,"1981-02-01","1981-02-05","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","17","Kitlope_Lake",1980-09-24,1980-09-24,1980-09-24,"1980-09-22","1980-09-26","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","17","Kitlope_Lake",1980-09-25,1980-09-24,1980-09-24,"1980-09-23","1980-09-27","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1980","17","Kitlope_Lake",NA,NA,1980-09-25,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","8","Long_Lake",NA,NA,1980-05-13,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","8","Long_Lake",NA,NA,1980-05-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","8","Long_Lake",NA,NA,1980-08-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","8","Long_Lake",NA,NA,1980-08-15,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","8","Long_Lake",NA,NA,1980-10-22,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","8","Long_Lake",NA,NA,1981-02-26,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1980","801","Long_Lake_(A)",NA,1980-08-14,1980-08-14,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","801","Long_Lake_(A)",NA,1980-10-22,1980-10-22,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","801","Long_Lake_(A)",NA,1981-02-26,1981-02-26,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","802","Long_Lake_(B)",NA,1980-08-15,1980-08-15,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","802","Long_Lake_(B)",NA,1980-10-23,1980-10-23,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1980","802","Long_Lake_(B)",NA,1981-02-27,1981-02-27,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
