"lake_code","lake_name","survey_date_trawl","interval_start","interval_end","ats_year","source_file","trawl_number","survey_date_acoustic","id_acoustic","match_status","transect"
"40","Kennedy_Lake_(Clay)",1978-02-07,"1978-02-05","1978-02-09","1977","Trawl, Acoustic","1",1978-02-07,9,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-02-07,"1978-02-05","1978-02-09","1977","Trawl, Acoustic","2",1978-02-07,9,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-02-07,"1978-02-05","1978-02-09","1977","Trawl, Acoustic","3",1978-02-07,9,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-02-07,"1978-02-05","1978-02-09","1977","Trawl, Acoustic","4",1978-02-07,9,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-02-08,"1978-02-06","1978-02-10","1977","Trawl, Acoustic","5",1978-02-07,9,"MATCH",NA
"41","Kennedy_Lake_(Main)",1977-09-20,"1977-09-18","1977-09-22","1977","Trawl, Acoustic","1",1977-09-20,10,"MATCH",NA
"41","Kennedy_Lake_(Main)",1977-09-20,"1977-09-18","1977-09-22","1977","Trawl, Acoustic","2",1977-09-20,10,"MATCH",NA
"41","Kennedy_Lake_(Main)",1977-09-20,"1977-09-18","1977-09-22","1977","Trawl, Acoustic","3",1977-09-20,10,"MATCH",NA
"41","Kennedy_Lake_(Main)",1977-09-20,"1977-09-18","1977-09-22","1977","Trawl, Acoustic","4",1977-09-20,10,"MATCH",NA
"41","Kennedy_Lake_(Main)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","5",1977-09-20,10,"MATCH",NA
"41","Kennedy_Lake_(Main)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","6",1977-09-20,10,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-02-09,"1978-02-07","1978-02-11","1977","Trawl, Acoustic","1",1978-02-08,11,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-02-09,"1978-02-07","1978-02-11","1977","Trawl, Acoustic","2",1978-02-08,11,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-02-09,"1978-02-07","1978-02-11","1977","Trawl, Acoustic","3",1978-02-08,11,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-02-09,"1978-02-07","1978-02-11","1977","Trawl, Acoustic","4",1978-02-08,11,"MATCH",NA
"12","Alastair_Lake",1978-07-10,"1978-07-08","1978-07-12","1978","Trawl, Acoustic","1",1978-07-10,14,"MATCH",NA
"12","Alastair_Lake",1978-07-10,"1978-07-08","1978-07-12","1978","Trawl, Acoustic","2",1978-07-10,14,"MATCH",NA
"12","Alastair_Lake",1978-07-10,"1978-07-08","1978-07-12","1978","Trawl, Acoustic","3",1978-07-10,14,"MATCH",NA
"12","Alastair_Lake",1978-07-10,"1978-07-08","1978-07-12","1978","Trawl, Acoustic","4",1978-07-10,14,"MATCH",NA
"11","Fred_Wright_Lake",1978-10-05,"1978-10-03","1978-10-07","1978","Trawl, Acoustic","1",1978-10-05,15,"MATCH",NA
"11","Fred_Wright_Lake",1978-10-05,"1978-10-03","1978-10-07","1978","Trawl, Acoustic","2",1978-10-05,15,"MATCH",NA
"11","Fred_Wright_Lake",1978-10-05,"1978-10-03","1978-10-07","1978","Trawl, Acoustic","3",1978-10-05,15,"MATCH",NA
"3","Henderson_Lake",1979-03-13,"1979-03-11","1979-03-15","1978","Trawl, Acoustic","1",1979-03-13,20,"MATCH",NA
"3","Henderson_Lake",1979-03-13,"1979-03-11","1979-03-15","1978","Trawl, Acoustic","2",1979-03-13,20,"MATCH",NA
"3","Henderson_Lake",1979-03-13,"1979-03-11","1979-03-15","1978","Trawl, Acoustic","3",1979-03-13,20,"MATCH",NA
"3","Henderson_Lake",1979-03-13,"1979-03-11","1979-03-15","1978","Trawl, Acoustic","4",1979-03-13,20,"MATCH",NA
"3","Henderson_Lake",1979-03-14,"1979-03-12","1979-03-16","1978","Trawl, Acoustic","5",1979-03-13,20,"MATCH",NA
"6","Hobiton_Lake",1979-03-14,"1979-03-12","1979-03-16","1978","Trawl, Acoustic","2",1979-03-14,21,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic","3",1978-08-15,22,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic","4",1978-08-15,22,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic","5",1978-08-15,22,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-11-15,"1978-11-13","1978-11-17","1978","Trawl, Acoustic","1",1978-11-15,23,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-11-15,"1978-11-13","1978-11-17","1978","Trawl, Acoustic","2",1978-11-15,23,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-11-15,"1978-11-13","1978-11-17","1978","Trawl, Acoustic","3",1978-11-15,23,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1978-11-16,"1978-11-14","1978-11-18","1978","Trawl, Acoustic","4",1978-11-15,23,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic","1",1978-08-14,24,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic","2",1978-08-14,24,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-11-16,"1978-11-14","1978-11-18","1978","Trawl, Acoustic","1",1978-11-16,25,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-11-16,"1978-11-14","1978-11-18","1978","Trawl, Acoustic","2",1978-11-16,25,"MATCH",NA
"41","Kennedy_Lake_(Main)",1978-11-16,"1978-11-14","1978-11-18","1978","Trawl, Acoustic","3",1978-11-16,25,"MATCH",NA
"17","Kitlope_Lake",1978-06-29,"1978-06-27","1978-07-01","1978","Trawl, Acoustic","1",1978-06-29,26,"MATCH",NA
"17","Kitlope_Lake",1978-06-29,"1978-06-27","1978-07-01","1978","Trawl, Acoustic","2",1978-06-29,26,"MATCH",NA
"17","Kitlope_Lake",1978-06-30,"1978-06-28","1978-07-02","1978","Trawl, Acoustic","3",1978-06-29,26,"MATCH",NA
"17","Kitlope_Lake",1978-06-30,"1978-06-28","1978-07-02","1978","Trawl, Acoustic","4",1978-06-29,26,"MATCH",NA
"17","Kitlope_Lake",1978-06-30,"1978-06-28","1978-07-02","1978","Trawl, Acoustic","5",1978-06-29,26,"MATCH",NA
"17","Kitlope_Lake",1978-09-15,"1978-09-13","1978-09-17","1978","Trawl, Acoustic","1",1978-09-15,27,"MATCH",NA
"17","Kitlope_Lake",1978-09-15,"1978-09-13","1978-09-17","1978","Trawl, Acoustic","2",1978-09-15,27,"MATCH",NA
"17","Kitlope_Lake",1978-09-15,"1978-09-13","1978-09-17","1978","Trawl, Acoustic","3",1978-09-15,27,"MATCH",NA
"17","Kitlope_Lake",1978-09-15,"1978-09-13","1978-09-17","1978","Trawl, Acoustic","4",1978-09-15,27,"MATCH",NA
"17","Kitlope_Lake",1978-09-15,"1978-09-13","1978-09-17","1978","Trawl, Acoustic","5",1978-09-15,27,"MATCH",NA
"20","Lowe_Lake",1978-09-20,"1978-09-18","1978-09-22","1978","Trawl, Acoustic","1",1978-09-20,31,"MATCH",NA
"20","Lowe_Lake",1978-09-20,"1978-09-18","1978-09-22","1978","Trawl, Acoustic","2",1978-09-20,31,"MATCH",NA
"20","Lowe_Lake",1978-09-20,"1978-09-18","1978-09-22","1978","Trawl, Acoustic","3",1978-09-20,31,"MATCH",NA
"20","Lowe_Lake",1978-09-20,"1978-09-18","1978-09-22","1978","Trawl, Acoustic","4",1978-09-20,31,"MATCH",NA
"21","Nimpkish_Lake",1978-11-30,"1978-11-28","1978-12-02","1978","Trawl, Acoustic","1",1978-11-29,32,"MATCH",NA
"21","Nimpkish_Lake",1978-11-30,"1978-11-28","1978-12-02","1978","Trawl, Acoustic","2",1978-11-29,32,"MATCH",NA
"21","Nimpkish_Lake",1978-11-30,"1978-11-28","1978-12-02","1978","Trawl, Acoustic","3",1978-11-29,32,"MATCH",NA
"21","Nimpkish_Lake",1978-11-30,"1978-11-28","1978-12-02","1978","Trawl, Acoustic","4",1978-11-29,32,"MATCH",NA
"21","Nimpkish_Lake",1978-11-30,"1978-11-28","1978-12-02","1978","Trawl, Acoustic","5",1978-11-29,32,"MATCH",NA
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic","1",1978-11-21,34,"MATCH",NA
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic","2",1978-11-21,34,"MATCH",NA
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic","3",1978-11-21,34,"MATCH",NA
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic","4",1978-11-21,34,"MATCH",NA
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic","5",1978-11-21,34,"MATCH",NA
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic","6",1978-11-21,34,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","1",1978-11-22,35,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","2",1978-11-22,35,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","3",1978-11-22,35,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","4",1978-11-22,35,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","5",1978-11-22,35,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","6",1978-11-22,35,"MATCH",NA
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic","7",1978-11-22,35,"MATCH",NA
"27","Awun_Lake",1979-08-01,"1979-07-30","1979-08-03","1979","Trawl, Acoustic","1",1979-07-31,36,"MATCH",NA
"27","Awun_Lake",1979-08-01,"1979-07-30","1979-08-03","1979","Trawl, Acoustic","2",1979-07-31,36,"MATCH",NA
"27","Awun_Lake",1979-08-01,"1979-07-30","1979-08-03","1979","Trawl, Acoustic","3",1979-07-31,36,"MATCH",NA
"27","Awun_Lake",1979-08-01,"1979-07-30","1979-08-03","1979","Trawl, Acoustic","4",1979-07-31,36,"MATCH",NA
"27","Awun_Lake",1979-08-01,"1979-07-30","1979-08-03","1979","Trawl, Acoustic","5",1979-07-31,36,"MATCH",NA
"31","Bonilla_Lake",1979-10-04,"1979-10-02","1979-10-06","1979","Trawl, Acoustic","1",1979-10-04,37,"MATCH",NA
"31","Bonilla_Lake",1979-10-04,"1979-10-02","1979-10-06","1979","Trawl, Acoustic","2",1979-10-04,37,"MATCH",NA
"31","Bonilla_Lake",1979-10-04,"1979-10-02","1979-10-06","1979","Trawl, Acoustic","3",1979-10-04,37,"MATCH",NA
"31","Bonilla_Lake",1979-10-04,"1979-10-02","1979-10-06","1979","Trawl, Acoustic","4",1979-10-04,37,"MATCH",NA
"28","Curtis_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic","1",1979-10-14,38,"MATCH",NA
"28","Curtis_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic","2",1979-10-14,38,"MATCH",NA
"28","Curtis_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic","3",1979-10-14,38,"MATCH",NA
"28","Curtis_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic","4",1979-10-14,38,"MATCH",NA
"29","Devon_Lake",1979-10-08,"1979-10-06","1979-10-10","1979","Trawl, Acoustic","1",1979-10-08,39,"MATCH",NA
"29","Devon_Lake",1979-10-09,"1979-10-07","1979-10-11","1979","Trawl, Acoustic","2",1979-10-08,39,"MATCH",NA
"29","Devon_Lake",1979-10-09,"1979-10-07","1979-10-11","1979","Trawl, Acoustic","3",1979-10-08,39,"MATCH",NA
"25","Eden_Lake",1979-08-04,"1979-08-02","1979-08-06","1979","Trawl, Acoustic","1",1979-08-04,40,"MATCH",NA
"25","Eden_Lake",1979-08-05,"1979-08-03","1979-08-07","1979","Trawl, Acoustic","2",1979-08-04,40,"MATCH",NA
"25","Eden_Lake",1979-08-05,"1979-08-03","1979-08-07","1979","Trawl, Acoustic","3",1979-08-04,40,"MATCH",NA
"25","Eden_Lake",1979-08-05,"1979-08-03","1979-08-07","1979","Trawl, Acoustic","4",1979-08-04,40,"MATCH",NA
"25","Eden_Lake",1979-08-05,"1979-08-03","1979-08-07","1979","Trawl, Acoustic","5",1979-08-04,40,"MATCH",NA
"1","Great_Central_Lake",1979-07-19,"1979-07-17","1979-07-21","1979","Trawl, Acoustic","1",1979-07-18,41,"MATCH",NA
"1","Great_Central_Lake",1979-12-19,"1979-12-17","1979-12-21","1979","Trawl, Acoustic","1",1979-12-20,42,"MATCH",NA
"1","Great_Central_Lake",1979-12-19,"1979-12-17","1979-12-21","1979","Trawl, Acoustic","2",1979-12-20,42,"MATCH",NA
"1","Great_Central_Lake",1979-12-19,"1979-12-17","1979-12-21","1979","Trawl, Acoustic","3",1979-12-20,42,"MATCH",NA
"6","Hobiton_Lake",1980-03-11,"1980-03-09","1980-03-13","1979","Trawl, Acoustic","1",1980-03-10,43,"MATCH",NA
"26","Ian_Lake",1979-07-28,"1979-07-26","1979-07-30","1979","Trawl, Acoustic","1",1979-07-27,44,"MATCH",NA
"26","Ian_Lake",1979-07-29,"1979-07-27","1979-07-31","1979","Trawl, Acoustic","2",1979-07-27,44,"MATCH",NA
"26","Ian_Lake",1979-07-29,"1979-07-27","1979-07-31","1979","Trawl, Acoustic","3",1979-07-27,44,"MATCH",NA
"26","Ian_Lake",1979-07-29,"1979-07-27","1979-07-31","1979","Trawl, Acoustic","4",1979-07-27,44,"MATCH",NA
"26","Ian_Lake",1979-07-29,"1979-07-27","1979-07-31","1979","Trawl, Acoustic","5",1979-07-27,44,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","1",1980-01-23,45,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","2",1980-01-23,45,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","3",1980-01-23,45,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","4",1980-01-23,45,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","5",1980-01-23,45,"MATCH",NA
"41","Kennedy_Lake_(Main)",1980-01-22,"1980-01-20","1980-01-24","1979","Trawl, Acoustic","1",1980-01-22,46,"MATCH",NA
"41","Kennedy_Lake_(Main)",1980-01-22,"1980-01-20","1980-01-24","1979","Trawl, Acoustic","2",1980-01-22,46,"MATCH",NA
"41","Kennedy_Lake_(Main)",1980-01-22,"1980-01-20","1980-01-24","1979","Trawl, Acoustic","3",1980-01-22,46,"MATCH",NA
"41","Kennedy_Lake_(Main)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","4",1980-01-22,46,"MATCH",NA
"41","Kennedy_Lake_(Main)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic","5",1980-01-22,46,"MATCH",NA
"17","Kitlope_Lake",1979-10-18,"1979-10-16","1979-10-20","1979","Trawl, Acoustic","1",1979-10-18,47,"MATCH",NA
"17","Kitlope_Lake",1979-10-18,"1979-10-16","1979-10-20","1979","Trawl, Acoustic","2",1979-10-18,47,"MATCH",NA
"17","Kitlope_Lake",1979-10-18,"1979-10-16","1979-10-20","1979","Trawl, Acoustic","3",1979-10-18,47,"MATCH",NA
"17","Kitlope_Lake",1979-10-18,"1979-10-16","1979-10-20","1979","Trawl, Acoustic","4",1979-10-18,47,"MATCH",NA
"17","Kitlope_Lake",1979-10-19,"1979-10-17","1979-10-21","1979","Trawl, Acoustic","5",1979-10-18,47,"MATCH",NA
"20","Lowe_Lake",1979-07-23,"1979-07-21","1979-07-25","1979","Trawl, Acoustic","1",1979-07-22,50,"MATCH",NA
"20","Lowe_Lake",1979-07-23,"1979-07-21","1979-07-25","1979","Trawl, Acoustic","2",1979-07-22,50,"MATCH",NA
"20","Lowe_Lake",1979-07-23,"1979-07-21","1979-07-25","1979","Trawl, Acoustic","3",1979-07-22,50,"MATCH",NA
"20","Lowe_Lake",1979-10-13,"1979-10-11","1979-10-15","1979","Trawl, Acoustic","1",1979-10-13,51,"MATCH",NA
"20","Lowe_Lake",1979-10-13,"1979-10-11","1979-10-15","1979","Trawl, Acoustic","2",1979-10-13,51,"MATCH",NA
"20","Lowe_Lake",1979-10-13,"1979-10-11","1979-10-15","1979","Trawl, Acoustic","3",1979-10-13,51,"MATCH",NA
"20","Lowe_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic","4",1979-10-13,51,"MATCH",NA
"21","Nimpkish_Lake",1979-11-07,"1979-11-05","1979-11-09","1979","Trawl, Acoustic","1",1979-11-06,52,"MATCH",NA
"21","Nimpkish_Lake",1979-11-07,"1979-11-05","1979-11-09","1979","Trawl, Acoustic","2",1979-11-06,52,"MATCH",NA
"21","Nimpkish_Lake",1979-11-07,"1979-11-05","1979-11-09","1979","Trawl, Acoustic","3",1979-11-06,52,"MATCH",NA
"21","Nimpkish_Lake",1979-11-07,"1979-11-05","1979-11-09","1979","Trawl, Acoustic","4",1979-11-06,52,"MATCH",NA
"21","Nimpkish_Lake",1979-11-07,"1979-11-05","1979-11-09","1979","Trawl, Acoustic","5",1979-11-06,52,"MATCH",NA
"2","Sproat_Lake",1980-02-26,"1980-02-24","1980-02-28","1979","Trawl, Acoustic","1",1980-02-26,53,"MATCH",NA
"2","Sproat_Lake",1980-02-26,"1980-02-24","1980-02-28","1979","Trawl, Acoustic","2",1980-02-26,53,"MATCH",NA
"22","Woss_Lake",1979-11-08,"1979-11-06","1979-11-10","1979","Trawl, Acoustic","1",1979-11-08,54,"MATCH",NA
"22","Woss_Lake",1979-11-08,"1979-11-06","1979-11-10","1979","Trawl, Acoustic","2",1979-11-08,54,"MATCH",NA
"22","Woss_Lake",1979-11-08,"1979-11-06","1979-11-10","1979","Trawl, Acoustic","3",1979-11-08,54,"MATCH",NA
"22","Woss_Lake",1979-11-08,"1979-11-06","1979-11-10","1979","Trawl, Acoustic","4",1979-11-08,54,"MATCH",NA
"22","Woss_Lake",1979-11-09,"1979-11-07","1979-11-11","1979","Trawl, Acoustic","5",1979-11-08,54,"MATCH",NA
"27","Awun_Lake",1980-07-31,"1980-07-29","1980-08-02","1980","Trawl, Acoustic","1",1980-07-30,55,"MATCH",NA
"27","Awun_Lake",1980-07-31,"1980-07-29","1980-08-02","1980","Trawl, Acoustic","2",1980-07-30,55,"MATCH",NA
"27","Awun_Lake",1980-07-31,"1980-07-29","1980-08-02","1980","Trawl, Acoustic","3",1980-07-30,55,"MATCH",NA
"31","Bonilla_Lake",1980-09-17,"1980-09-15","1980-09-19","1980","Trawl, Acoustic","1",1980-09-17,56,"MATCH",NA
"31","Bonilla_Lake",1980-09-17,"1980-09-15","1980-09-19","1980","Trawl, Acoustic","2",1980-09-17,56,"MATCH",NA
"31","Bonilla_Lake",1980-09-17,"1980-09-15","1980-09-19","1980","Trawl, Acoustic","3",1980-09-17,56,"MATCH",NA
"31","Bonilla_Lake",1980-09-17,"1980-09-15","1980-09-19","1980","Trawl, Acoustic","4",1980-09-17,56,"MATCH",NA
"31","Bonilla_Lake",1980-09-18,"1980-09-16","1980-09-20","1980","Trawl, Acoustic","5",1980-09-17,56,"MATCH",NA
"28","Curtis_Lake",1980-09-21,"1980-09-19","1980-09-23","1980","Trawl, Acoustic","1",1980-09-21,57,"MATCH",NA
"28","Curtis_Lake",1980-09-21,"1980-09-19","1980-09-23","1980","Trawl, Acoustic","2",1980-09-21,57,"MATCH",NA
"28","Curtis_Lake",1980-09-21,"1980-09-19","1980-09-23","1980","Trawl, Acoustic","3",1980-09-21,57,"MATCH",NA
"28","Curtis_Lake",1980-09-22,"1980-09-20","1980-09-24","1980","Trawl, Acoustic","4",1980-09-21,57,"MATCH",NA
"28","Curtis_Lake",1980-09-22,"1980-09-20","1980-09-24","1980","Trawl, Acoustic","5",1980-09-21,57,"MATCH",NA
"29","Devon_Lake",1980-09-20,"1980-09-18","1980-09-22","1980","Trawl, Acoustic","1",1980-09-20,58,"MATCH",NA
"29","Devon_Lake",1980-09-20,"1980-09-18","1980-09-22","1980","Trawl, Acoustic","2",1980-09-20,58,"MATCH",NA
"29","Devon_Lake",1980-09-20,"1980-09-18","1980-09-22","1980","Trawl, Acoustic","3",1980-09-20,58,"MATCH",NA
"29","Devon_Lake",1980-09-20,"1980-09-18","1980-09-22","1980","Trawl, Acoustic","4",1980-09-20,58,"MATCH",NA
"29","Devon_Lake",1980-09-20,"1980-09-18","1980-09-22","1980","Trawl, Acoustic","5",1980-09-20,58,"MATCH",NA
"25","Eden_Lake",1980-07-30,"1980-07-28","1980-08-01","1980","Trawl, Acoustic","1",1980-07-29,59,"MATCH",NA
"25","Eden_Lake",1980-07-30,"1980-07-28","1980-08-01","1980","Trawl, Acoustic","2",1980-07-29,59,"MATCH",NA
"25","Eden_Lake",1980-07-30,"1980-07-28","1980-08-01","1980","Trawl, Acoustic","3",1980-07-29,59,"MATCH",NA
"25","Eden_Lake",1980-07-30,"1980-07-28","1980-08-01","1980","Trawl, Acoustic","4",1980-07-29,59,"MATCH",NA
"25","Eden_Lake",1980-07-30,"1980-07-28","1980-08-01","1980","Trawl, Acoustic","5",1980-07-29,59,"MATCH",NA
"1","Great_Central_Lake",1980-08-27,"1980-08-25","1980-08-29","1980","Trawl, Acoustic","1",1980-08-27,60,"MATCH",NA
"1","Great_Central_Lake",1980-08-27,"1980-08-25","1980-08-29","1980","Trawl, Acoustic","2",1980-08-27,60,"MATCH",NA
"1","Great_Central_Lake",1980-08-27,"1980-08-25","1980-08-29","1980","Trawl, Acoustic","3",1980-08-27,60,"MATCH",NA
"1","Great_Central_Lake",1980-08-28,"1980-08-26","1980-08-30","1980","Trawl, Acoustic","3",1980-08-27,60,"MATCH",NA
"1","Great_Central_Lake",1980-08-28,"1980-08-26","1980-08-30","1980","Trawl, Acoustic","4",1980-08-27,60,"MATCH",NA
"1","Great_Central_Lake",1980-11-27,"1980-11-25","1980-11-29","1980","Trawl, Acoustic","1",1980-11-27,61,"MATCH",NA
"1","Great_Central_Lake",1980-11-27,"1980-11-25","1980-11-29","1980","Trawl, Acoustic","2",1980-11-27,61,"MATCH",NA
"1","Great_Central_Lake",1980-11-27,"1980-11-25","1980-11-29","1980","Trawl, Acoustic","3",1980-11-27,61,"MATCH",NA
"3","Henderson_Lake",1980-10-20,"1980-10-18","1980-10-22","1980","Trawl, Acoustic","1",1980-10-20,63,"MATCH",NA
"3","Henderson_Lake",1980-10-20,"1980-10-18","1980-10-22","1980","Trawl, Acoustic","2",1980-10-20,63,"MATCH",NA
