"lake_code","lake_name","survey_date_trawl","interval_start","interval_end","ats_year","source_file","survey_date_acoustic","match_status"
"40","Kennedy_Lake_(Clay)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic",1980-01-23,"MATCH"
"41","Kennedy_Lake_(Main)",1980-01-22,"1980-01-20","1980-01-24","1979","Trawl, Acoustic",1980-01-22,"MATCH"
"41","Kennedy_Lake_(Main)",1980-01-23,"1980-01-21","1980-01-25","1979","Trawl, Acoustic",1980-01-22,"MATCH"
"17","Kitlope_Lake",1979-10-18,"1979-10-16","1979-10-20","1979","Trawl, Acoustic",1979-10-18,"MATCH"
"17","Kitlope_Lake",1979-10-19,"1979-10-17","1979-10-21","1979","Trawl, Acoustic",1979-10-18,"MATCH"
"20","Lowe_Lake",1979-07-23,"1979-07-21","1979-07-25","1979","Trawl, Acoustic",1979-07-22,"MATCH"
"20","Lowe_Lake",1979-10-13,"1979-10-11","1979-10-15","1979","Trawl, Acoustic",1979-10-13,"MATCH"
"20","Lowe_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic",1979-10-13,"MATCH"
"21","Nimpkish_Lake",1979-11-07,"1979-11-05","1979-11-09","1979","Trawl, Acoustic",1979-11-06,"MATCH"
"2","Sproat_Lake",1980-02-26,"1980-02-24","1980-02-28","1979","Trawl, Acoustic",1980-02-26,"MATCH"
"22","Woss_Lake",1979-11-08,"1979-11-06","1979-11-10","1979","Trawl, Acoustic",1979-11-08,"MATCH"
"22","Woss_Lake",1979-11-09,"1979-11-07","1979-11-11","1979","Trawl, Acoustic",1979-11-08,"MATCH"
"27","Awun_Lake",1980-07-31,"1980-07-29","1980-08-02","1980","Trawl, Acoustic",1980-07-30,"MATCH"
"31","Bonilla_Lake",1980-09-17,"1980-09-15","1980-09-19","1980","Trawl, Acoustic",1980-09-17,"MATCH"
"31","Bonilla_Lake",1980-09-18,"1980-09-16","1980-09-20","1980","Trawl, Acoustic",1980-09-17,"MATCH"
"28","Curtis_Lake",1980-09-21,"1980-09-19","1980-09-23","1980","Trawl, Acoustic",1980-09-21,"MATCH"
"28","Curtis_Lake",1980-09-22,"1980-09-20","1980-09-24","1980","Trawl, Acoustic",1980-09-21,"MATCH"
"29","Devon_Lake",1980-09-20,"1980-09-18","1980-09-22","1980","Trawl, Acoustic",1980-09-20,"MATCH"
"25","Eden_Lake",1980-07-30,"1980-07-28","1980-08-01","1980","Trawl, Acoustic",1980-07-29,"MATCH"
"1","Great_Central_Lake",1980-08-27,"1980-08-25","1980-08-29","1980","Trawl, Acoustic",1980-08-27,"MATCH"
"1","Great_Central_Lake",1980-08-28,"1980-08-26","1980-08-30","1980","Trawl, Acoustic",1980-08-27,"MATCH"
"1","Great_Central_Lake",1980-11-27,"1980-11-25","1980-11-29","1980","Trawl, Acoustic",1980-11-27,"MATCH"
"3","Henderson_Lake",1980-10-20,"1980-10-18","1980-10-22","1980","Trawl, Acoustic",1980-10-20,"MATCH"
"3","Henderson_Lake",1980-10-21,"1980-10-19","1980-10-23","1980","Trawl, Acoustic",1980-10-20,"MATCH"
"26","Ian_Lake",1980-07-25,"1980-07-23","1980-07-27","1980","Trawl, Acoustic",1980-07-24,"MATCH"
"26","Ian_Lake",1980-07-26,"1980-07-24","1980-07-28","1980","Trawl, Acoustic",1980-07-24,"MATCH"
"40","Kennedy_Lake_(Clay)",1981-02-04,"1981-02-02","1981-02-06","1980","Trawl, Acoustic",1981-02-04,"MATCH"
"41","Kennedy_Lake_(Main)",1981-02-03,"1981-02-01","1981-02-05","1980","Trawl, Acoustic",1981-02-03,"MATCH"
"17","Kitlope_Lake",1980-09-24,"1980-09-22","1980-09-26","1980","Trawl, Acoustic",1980-09-24,"MATCH"
"17","Kitlope_Lake",1980-09-25,"1980-09-23","1980-09-27","1980","Trawl, Acoustic",1980-09-24,"MATCH"
"20","Lowe_Lake",1980-09-18,"1980-09-16","1980-09-20","1980","Trawl, Acoustic",1980-09-18,"MATCH"
"20","Lowe_Lake",1980-09-19,"1980-09-17","1980-09-21","1980","Trawl, Acoustic",1980-09-18,"MATCH"
"32","Mercer_Lake",1980-07-27,"1980-07-25","1980-07-29","1980","Trawl, Acoustic",1980-07-26,"MATCH"
"21","Nimpkish_Lake",1980-11-04,"1980-11-02","1980-11-06","1980","Trawl, Acoustic",1980-11-04,"MATCH"
"21","Nimpkish_Lake",1980-11-05,"1980-11-03","1980-11-07","1980","Trawl, Acoustic",1980-11-04,"MATCH"
"2","Sproat_Lake",1981-01-20,"1981-01-18","1981-01-22","1980","Trawl, Acoustic",1981-01-20,"MATCH"
"2","Sproat_Lake",1981-01-21,"1981-01-19","1981-01-23","1980","Trawl, Acoustic",1981-01-20,"MATCH"
"22","Woss_Lake",1980-11-06,"1980-11-04","1980-11-08","1980","Trawl, Acoustic",1980-11-06,"MATCH"
"27","Awun_Lake",1981-10-07,"1981-10-05","1981-10-09","1981","Trawl, Acoustic",1981-10-07,"MATCH"
"27","Awun_Lake",1981-10-08,"1981-10-06","1981-10-10","1981","Trawl, Acoustic",1981-10-07,"MATCH"
"31","Bonilla_Lake",1981-08-19,"1981-08-17","1981-08-21","1981","Trawl, Acoustic",1981-08-19,"MATCH"
"31","Bonilla_Lake",1981-08-20,"1981-08-18","1981-08-22","1981","Trawl, Acoustic",1981-08-19,"MATCH"
"31","Bonilla_Lake",1981-09-20,"1981-09-18","1981-09-22","1981","Trawl, Acoustic",1981-09-20,"MATCH"
"31","Bonilla_Lake",1981-09-21,"1981-09-19","1981-09-23","1981","Trawl, Acoustic",1981-09-20,"MATCH"
"28","Curtis_Lake",1981-07-20,"1981-07-18","1981-07-22","1981","Trawl, Acoustic",1981-07-20,"MATCH"
"28","Curtis_Lake",1981-09-21,"1981-09-19","1981-09-23","1981","Trawl, Acoustic",1981-09-21,"MATCH"
"28","Curtis_Lake",1981-09-22,"1981-09-20","1981-09-24","1981","Trawl, Acoustic",1981-09-21,"MATCH"
"29","Devon_Lake",1981-09-22,"1981-09-20","1981-09-24","1981","Trawl, Acoustic",1981-09-22,"MATCH"
"25","Eden_Lake",1981-10-08,"1981-10-06","1981-10-10","1981","Trawl, Acoustic",1981-10-07,"MATCH"
"25","Eden_Lake",1981-10-09,"1981-10-07","1981-10-11","1981","Trawl, Acoustic",1981-10-07,"MATCH"
"1","Great_Central_Lake",1981-07-29,"1981-07-27","1981-07-31","1981","Trawl, Acoustic",1981-07-29,"MATCH"
"1","Great_Central_Lake",1981-07-30,"1981-07-28","1981-08-01","1981","Trawl, Acoustic",1981-07-29,"MATCH"
"1","Great_Central_Lake",1981-09-15,"1981-09-13","1981-09-17","1981","Trawl, Acoustic",1981-09-14,"MATCH"
"1","Great_Central_Lake",1981-09-16,"1981-09-14","1981-09-18","1981","Trawl, Acoustic",1981-09-14,"MATCH"
"1","Great_Central_Lake",1982-02-02,"1982-01-31","1982-02-04","1981","Trawl, Acoustic",1982-02-02,"MATCH"
"3","Henderson_Lake",1981-08-12,"1981-08-10","1981-08-14","1981","Trawl, Acoustic",1981-08-12,"MATCH"
"3","Henderson_Lake",1981-08-13,"1981-08-11","1981-08-15","1981","Trawl, Acoustic",1981-08-12,"MATCH"
"3","Henderson_Lake",1981-10-21,"1981-10-19","1981-10-23","1981","Trawl, Acoustic",1981-10-21,"MATCH"
"3","Henderson_Lake",1981-10-22,"1981-10-20","1981-10-24","1981","Trawl, Acoustic",1981-10-21,"MATCH"
"3","Henderson_Lake",1982-03-06,"1982-03-04","1982-03-08","1981","Trawl, Acoustic",1982-03-06,"MATCH"
"6","Hobiton_Lake",1981-08-13,"1981-08-11","1981-08-15","1981","Trawl, Acoustic",1981-08-13,"MATCH"
"6","Hobiton_Lake",1981-08-14,"1981-08-12","1981-08-16","1981","Trawl, Acoustic",1981-08-13,"MATCH"
"6","Hobiton_Lake",1981-10-22,"1981-10-20","1981-10-24","1981","Trawl, Acoustic",1981-10-22,"MATCH"
"26","Ian_Lake",1981-10-11,"1981-10-09","1981-10-13","1981","Trawl, Acoustic",1981-10-11,"MATCH"
"40","Kennedy_Lake_(Clay)",1981-09-02,"1981-08-31","1981-09-04","1981","Trawl, Acoustic",1981-09-02,"MATCH"
"40","Kennedy_Lake_(Clay)",1981-09-03,"1981-09-01","1981-09-05","1981","Trawl, Acoustic",1981-09-02,"MATCH"
"40","Kennedy_Lake_(Clay)",1981-09-04,"1981-09-02","1981-09-06","1981","Trawl, Acoustic",1981-09-02,"MATCH"
"40","Kennedy_Lake_(Clay)",1981-12-16,"1981-12-14","1981-12-18","1981","Trawl, Acoustic",1981-12-16,"MATCH"
"40","Kennedy_Lake_(Clay)",1982-03-11,"1982-03-09","1982-03-13","1981","Trawl, Acoustic",1982-03-10,"MATCH"
"40","Kennedy_Lake_(Clay)",1982-03-12,"1982-03-10","1982-03-14","1981","Trawl, Acoustic",1982-03-10,"MATCH"
"41","Kennedy_Lake_(Main)",1981-09-03,"1981-09-01","1981-09-05","1981","Trawl, Acoustic",1981-09-04,"MATCH"
"41","Kennedy_Lake_(Main)",1981-09-04,"1981-09-02","1981-09-06","1981","Trawl, Acoustic",1981-09-04,"MATCH"
"41","Kennedy_Lake_(Main)",1981-12-15,"1981-12-13","1981-12-17","1981","Trawl, Acoustic",1981-12-15,"MATCH"
"41","Kennedy_Lake_(Main)",1982-03-10,"1982-03-08","1982-03-12","1981","Trawl, Acoustic",1982-03-10,"MATCH"
"20","Lowe_Lake",1981-10-14,"1981-10-12","1981-10-16","1981","Trawl, Acoustic",1981-10-14,"MATCH"
"20","Lowe_Lake",1981-10-15,"1981-10-13","1981-10-17","1981","Trawl, Acoustic",1981-10-14,"MATCH"
"32","Mercer_Lake",1981-10-09,"1981-10-07","1981-10-11","1981","Trawl, Acoustic",1981-10-09,"MATCH"
"21","Nimpkish_Lake",1981-08-16,"1981-08-14","1981-08-18","1981","Trawl, Acoustic",1981-08-16,"MATCH"
"21","Nimpkish_Lake",1981-08-17,"1981-08-15","1981-08-19","1981","Trawl, Acoustic",1981-08-16,"MATCH"
"21","Nimpkish_Lake",1981-09-18,"1981-09-16","1981-09-20","1981","Trawl, Acoustic",1981-09-18,"MATCH"
"2","Sproat_Lake",1981-08-05,"1981-08-03","1981-08-07","1981","Trawl, Acoustic",1981-08-05,"MATCH"
"2","Sproat_Lake",1981-08-06,"1981-08-04","1981-08-08","1981","Trawl, Acoustic",1981-08-05,"MATCH"
"2","Sproat_Lake",1981-09-30,"1981-09-28","1981-10-02","1981","Trawl, Acoustic",1981-09-29,"MATCH"
"22","Woss_Lake",1981-09-17,"1981-09-15","1981-09-19","1981","Trawl, Acoustic",1981-09-17,"MATCH"
"22","Woss_Lake",1981-09-18,"1981-09-16","1981-09-20","1981","Trawl, Acoustic",1981-09-17,"MATCH"
"27","Awun_Lake",1982-09-27,"1982-09-25","1982-09-29","1982","Trawl, Acoustic",1982-09-27,"MATCH"
"27","Awun_Lake",1982-09-28,"1982-09-26","1982-09-30","1982","Trawl, Acoustic",1982-09-27,"MATCH"
"31","Bonilla_Lake",1982-04-13,"1982-04-11","1982-04-15","1982","Trawl, Acoustic",1982-04-13,"MATCH"
"31","Bonilla_Lake",1982-04-14,"1982-04-12","1982-04-16","1982","Trawl, Acoustic",1982-04-13,"MATCH"
"31","Bonilla_Lake",1982-10-04,"1982-10-02","1982-10-06","1982","Trawl, Acoustic",1982-10-04,"MATCH"
"28","Curtis_Lake",1983-02-04,"1983-02-02","1983-02-06","1982","Trawl, Acoustic",1983-02-04,"MATCH"
"29","Devon_Lake",1983-02-05,"1983-02-03","1983-02-07","1982","Trawl, Acoustic",1983-02-05,"MATCH"
"25","Eden_Lake",1982-09-29,"1982-09-27","1982-10-01","1982","Trawl, Acoustic",1982-09-29,"MATCH"
"1","Great_Central_Lake",1982-08-09,"1982-08-07","1982-08-11","1982","Trawl, Acoustic",1982-08-09,"MATCH"
"1","Great_Central_Lake",1982-11-11,"1982-11-09","1982-11-13","1982","Trawl, Acoustic",1982-11-11,"MATCH"
"1","Great_Central_Lake",1983-01-18,"1983-01-16","1983-01-20","1982","Trawl, Acoustic",1983-01-18,"MATCH"
"3","Henderson_Lake",1982-06-15,"1982-06-13","1982-06-17","1982","Trawl, Acoustic",1982-06-14,"MATCH"
"3","Henderson_Lake",1982-07-20,"1982-07-18","1982-07-22","1982","Trawl, Acoustic",1982-07-20,"MATCH"
"3","Henderson_Lake",1982-07-21,"1982-07-19","1982-07-23","1982","Trawl, Acoustic",1982-07-20,"MATCH"
"3","Henderson_Lake",1982-08-11,"1982-08-09","1982-08-13","1982","Trawl, Acoustic",1982-08-10,"MATCH"
"3","Henderson_Lake",1982-11-30,"1982-11-28","1982-12-02","1982","Trawl, Acoustic",1982-11-30,"MATCH"
"6","Hobiton_Lake",1982-08-13,"1982-08-11","1982-08-15","1982","Trawl, Acoustic",1982-08-13,"MATCH"
"6","Hobiton_Lake",1982-08-14,"1982-08-12","1982-08-16","1982","Trawl, Acoustic",1982-08-13,"MATCH"
"6","Hobiton_Lake",1982-12-01,"1982-11-29","1982-12-03","1982","Trawl, Acoustic",1982-12-01,"MATCH"
"6","Hobiton_Lake",1983-03-15,"1983-03-13","1983-03-17","1982","Trawl, Acoustic",1983-03-15,"MATCH"
"26","Ian_Lake",1982-10-01,"1982-09-29","1982-10-03","1982","Trawl, Acoustic",1982-09-30,"MATCH"
"40","Kennedy_Lake_(Clay)",1982-07-15,"1982-07-13","1982-07-17","1982","Trawl, Acoustic",1982-07-15,"MATCH"
"40","Kennedy_Lake_(Clay)",1982-07-16,"1982-07-14","1982-07-18","1982","Trawl, Acoustic",1982-07-15,"MATCH"
"40","Kennedy_Lake_(Clay)",1982-09-15,"1982-09-13","1982-09-17","1982","Trawl, Acoustic",1982-09-14,"MATCH"
"40","Kennedy_Lake_(Clay)",1982-09-16,"1982-09-14","1982-09-18","1982","Trawl, Acoustic",1982-09-14,"MATCH"
"40","Kennedy_Lake_(Clay)",1983-03-24,"1983-03-22","1983-03-26","1982","Trawl, Acoustic",1983-03-25,"MATCH"
"41","Kennedy_Lake_(Main)",1982-09-14,"1982-09-12","1982-09-16","1982","Trawl, Acoustic",1982-09-14,"MATCH"
"41","Kennedy_Lake_(Main)",1982-09-15,"1982-09-13","1982-09-17","1982","Trawl, Acoustic",1982-09-14,"MATCH"
"41","Kennedy_Lake_(Main)",1983-03-23,"1983-03-21","1983-03-25","1982","Trawl, Acoustic",1983-03-23,"MATCH"
"20","Lowe_Lake",1982-10-20,"1982-10-18","1982-10-22","1982","Trawl, Acoustic",1982-10-20,"MATCH"
"32","Mercer_Lake",1983-02-02,"1983-01-31","1983-02-04","1982","Trawl, Acoustic",1983-02-02,"MATCH"
"44","Muriel_Lake",1983-03-09,"1983-03-07","1983-03-11","1982","Trawl, Acoustic",1983-03-09,"MATCH"
"21","Nimpkish_Lake",1982-07-22,"1982-07-20","1982-07-24","1982","Trawl, Acoustic",1982-07-22,"MATCH"
"21","Nimpkish_Lake",1982-07-23,"1982-07-21","1982-07-25","1982","Trawl, Acoustic",1982-07-22,"MATCH"
"21","Nimpkish_Lake",1982-08-18,"1982-08-16","1982-08-20","1982","Trawl, Acoustic",1982-08-17,"MATCH"
"21","Nimpkish_Lake",1982-08-19,"1982-08-17","1982-08-21","1982","Trawl, Acoustic",1982-08-17,"MATCH"
"21","Nimpkish_Lake",1982-11-17,"1982-11-15","1982-11-19","1982","Trawl, Acoustic",1982-11-17,"MATCH"
"21","Nimpkish_Lake",1982-11-18,"1982-11-16","1982-11-20","1982","Trawl, Acoustic",1982-11-17,"MATCH"
"2","Sproat_Lake",1982-08-25,"1982-08-23","1982-08-27","1982","Trawl, Acoustic",1982-08-25,"MATCH"
"2","Sproat_Lake",1982-08-26,"1982-08-24","1982-08-28","1982","Trawl, Acoustic",1982-08-25,"MATCH"
"2","Sproat_Lake",1982-08-27,"1982-08-25","1982-08-29","1982","Trawl, Acoustic",1982-08-25,"MATCH"
"2","Sproat_Lake",1983-03-02,"1983-02-28","1983-03-04","1982","Trawl, Acoustic",1983-03-02,"MATCH"
"2","Sproat_Lake",1983-03-03,"1983-03-01","1983-03-05","1982","Trawl, Acoustic",1983-03-02,"MATCH"
"22","Woss_Lake",1982-08-20,"1982-08-18","1982-08-22","1982","Trawl, Acoustic",1982-08-19,"MATCH"
"22","Woss_Lake",1982-11-29,"1982-11-27","1982-12-01","1982","Trawl, Acoustic",1982-11-29,"MATCH"
"69","Yakoun_Lake",1982-10-03,"1982-10-01","1982-10-05","1982","Trawl, Acoustic",1982-10-02,"MATCH"
"27","Awun_Lake",1983-08-29,"1983-08-27","1983-08-31","1983","Trawl, Acoustic",1983-08-29,"MATCH"
"27","Awun_Lake",1983-08-30,"1983-08-28","1983-09-01","1983","Trawl, Acoustic",1983-08-29,"MATCH"
"31","Bonilla_Lake",1983-09-07,"1983-09-05","1983-09-09","1983","Trawl, Acoustic",1983-09-07,"MATCH"
"31","Bonilla_Lake",1983-09-08,"1983-09-06","1983-09-10","1983","Trawl, Acoustic",1983-09-07,"MATCH"
"107","Cheewhat_Lake",1983-11-01,"1983-10-30","1983-11-03","1983","Trawl, Acoustic",1983-11-01,"MATCH"
"28","Curtis_Lake",1983-09-08,"1983-09-06","1983-09-10","1983","Trawl, Acoustic",1983-09-08,"MATCH"
"28","Curtis_Lake",1983-09-09,"1983-09-07","1983-09-11","1983","Trawl, Acoustic",1983-09-08,"MATCH"
"29","Devon_Lake",1983-09-09,"1983-09-07","1983-09-11","1983","Trawl, Acoustic",1983-09-09,"MATCH"
"25","Eden_Lake",1983-09-02,"1983-08-31","1983-09-04","1983","Trawl, Acoustic",1983-09-02,"MATCH"
"25","Eden_Lake",1983-09-03,"1983-09-01","1983-09-05","1983","Trawl, Acoustic",1983-09-02,"MATCH"
"1","Great_Central_Lake",1983-08-30,"1983-08-28","1983-09-01","1983","Trawl, Acoustic",1983-08-30,"MATCH"
"1","Great_Central_Lake",1983-08-31,"1983-08-29","1983-09-02","1983","Trawl, Acoustic",1983-08-30,"MATCH"
"1","Great_Central_Lake",1983-11-01,"1983-10-30","1983-11-03","1983","Trawl, Acoustic",1983-11-01,"MATCH"
"3","Henderson_Lake",1983-07-25,"1983-07-23","1983-07-27","1983","Trawl, Acoustic",1983-07-25,"MATCH"
"3","Henderson_Lake",1983-07-26,"1983-07-24","1983-07-28","1983","Trawl, Acoustic",1983-07-25,"MATCH"
"3","Henderson_Lake",1983-09-14,"1983-09-12","1983-09-16","1983","Trawl, Acoustic",1983-09-14,"MATCH"
"3","Henderson_Lake",1983-09-15,"1983-09-13","1983-09-17","1983","Trawl, Acoustic",1983-09-14,"MATCH"
"6","Hobiton_Lake",1983-07-24,"1983-07-22","1983-07-26","1983","Trawl, Acoustic",1983-07-24,"MATCH"
"6","Hobiton_Lake",1983-07-25,"1983-07-23","1983-07-27","1983","Trawl, Acoustic",1983-07-24,"MATCH"
"6","Hobiton_Lake",1983-09-15,"1983-09-13","1983-09-17","1983","Trawl, Acoustic",1983-09-15,"MATCH"
"6","Hobiton_Lake",1983-10-31,"1983-10-29","1983-11-02","1983","Trawl, Acoustic",1983-10-31,"MATCH"
"6","Hobiton_Lake",1984-03-06,"1984-03-04","1984-03-08","1983","Trawl, Acoustic",1984-03-06,"MATCH"
"6","Hobiton_Lake",1984-03-06,"1984-03-04","1984-03-08","1983","Trawl, Acoustic",1984-03-07,"MATCH"
"6","Hobiton_Lake",1984-03-06,"1984-03-04","1984-03-08","1983","Trawl, Acoustic",1984-03-08,"MATCH"
"6","Hobiton_Lake",1984-03-07,"1984-03-05","1984-03-09","1983","Trawl, Acoustic",1984-03-06,"MATCH"
"6","Hobiton_Lake",1984-03-07,"1984-03-05","1984-03-09","1983","Trawl, Acoustic",1984-03-07,"MATCH"
"6","Hobiton_Lake",1984-03-07,"1984-03-05","1984-03-09","1983","Trawl, Acoustic",1984-03-08,"MATCH"
"26","Ian_Lake",1983-09-01,"1983-08-30","1983-09-03","1983","Trawl, Acoustic",1983-09-01,"MATCH"
"108","Jansen_Lake",1983-11-07,"1983-11-05","1983-11-09","1983","Trawl, Acoustic",1983-11-07,"MATCH"
"40","Kennedy_Lake_(Clay)",1983-09-14,"1983-09-12","1983-09-16","1983","Trawl, Acoustic",1983-09-14,"MATCH"
"40","Kennedy_Lake_(Clay)",1983-09-15,"1983-09-13","1983-09-17","1983","Trawl, Acoustic",1983-09-14,"MATCH"
"40","Kennedy_Lake_(Clay)",1983-10-05,"1983-10-03","1983-10-07","1983","Trawl, Acoustic",1983-10-05,"MATCH"
"41","Kennedy_Lake_(Main)",1983-09-13,"1983-09-11","1983-09-15","1983","Trawl, Acoustic",1983-09-13,"MATCH"
"41","Kennedy_Lake_(Main)",1983-09-14,"1983-09-12","1983-09-16","1983","Trawl, Acoustic",1983-09-13,"MATCH"
"41","Kennedy_Lake_(Main)",1983-10-04,"1983-10-02","1983-10-06","1983","Trawl, Acoustic",1983-10-04,"MATCH"
"41","Kennedy_Lake_(Main)",1983-10-05,"1983-10-03","1983-10-07","1983","Trawl, Acoustic",1983-10-04,"MATCH"
"20","Lowe_Lake",1983-09-05,"1983-09-03","1983-09-07","1983","Trawl, Acoustic",1983-09-05,"MATCH"
"32","Mercer_Lake",1983-08-31,"1983-08-29","1983-09-02","1983","Trawl, Acoustic",1983-08-31,"MATCH"
"45","Muchalat_Lake",1983-11-06,"1983-11-04","1983-11-08","1983","Trawl, Acoustic",1983-11-06,"MATCH"
"44","Muriel_Lake",1983-06-22,"1983-06-20","1983-06-24","1983","Trawl, Acoustic",1983-06-21,"MATCH"
"44","Muriel_Lake",1983-09-01,"1983-08-30","1983-09-03","1983","Trawl, Acoustic",1983-09-01,"MATCH"
"44","Muriel_Lake",1983-11-04,"1983-11-02","1983-11-06","1983","Trawl, Acoustic",1983-11-04,"MATCH"
"21","Nimpkish_Lake",1983-06-01,"1983-05-30","1983-06-03","1983","Trawl, Acoustic",1983-06-01,"MATCH"
"21","Nimpkish_Lake",1983-06-02,"1983-05-31","1983-06-04","1983","Trawl, Acoustic",1983-06-01,"MATCH"
